sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
10,Aragonda Apollo College Of Nursing,"Aragonda Apollo College Of Nursing, Aragonda, Thavanampalli Mandal, Chittoor, Distt.- Chittoor, Andhra Pradesh, Pin Code- 517129",Apollo Hospitals Educational Trust,Chittoor,Andhra Pradesh,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
11,Arogyavaram Medical Centre,"Arogyavaram Medical Centre, School Of Nursing,, Arogyavaram Medical Centre, , Vill.- Arogyavaram, Tehsil- Mandanpalle, Distt.- Chittoor, Andhra Pradesh, Pin Code- 517326",Church Of South India Arogyavaram Medical Centre Incorporating,Chittoor,Andhra Pradesh,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
11,Arogyavaram Medical Centre,"Arogyavaram Medical Centre, School Of Nursing,, Arogyavaram Medical Centre, , Vill.- Arogyavaram, Tehsil- Mandanpalle, Distt.- Chittoor, Andhra Pradesh, Pin Code- 517326",Church Of South India Arogyavaram Medical Centre Incorporating,Chittoor,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
12,Asram College Of Nursing,"Asram College Of Nursing,, Asram Hospital, Malkapuram,, Eluru, Distt.- West Godavari, Andhra Pradesh, Pin Code- 534004",Sri Alluri Sitaram Raju Educational Soc,West Godavari,Andhra Pradesh,Private,B.Sc(N),100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
12,Asram College Of Nursing,"Asram College Of Nursing,, Asram Hospital, Malkapuram,, Eluru, Distt.- West Godavari, Andhra Pradesh, Pin Code- 534004",Sri Alluri Sitaram Raju Educational Soc,West Godavari,Andhra Pradesh,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
13,Aswini College Of Nursing,"Aswini College Of Nursing,, 15-1-17 Mangalagiri Road, Guntur, Distt.- Guntur, Andhra Pradesh, Pin Code- 522001",Aswini Rural And Urban Health Org,Guntur,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
14,Balaji College Of Nursing,"Balaji College Of Nursing, D. No. 19-41-S6-1478, Sree Telugu Nagar, Tirupati, Distt.- Chittoor, Andhra Pradesh, Pin Code- 517501",Raju Rural Organisation Social Service Edu.,Chittoor,Andhra Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
15,Bethany School Of Nursing,"Bethany School Of Nursing,, P M P Colony, P M Palem ,, Visakhapatnam, Distt.- Visakhapatnam, Andhra Pradesh, Pin Code- 530041",Love-N-Care Ministries,Visakhapatnam,Andhra Pradesh,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
16,Bharat School Of Nursing,"Bharat School Of Nursing, No. 4-426, , Dowlaiswaram, Distt.- East Godavari, Andhra Pradesh, Pin Code- 533125",Sri Satya Sai Baba Educational Society,East Godavari,Andhra Pradesh,Private,GNM,45 (Forty Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
17,Bollineni College Of Nursing,"Bollineni College Of Nursing , Dhanalakshmipuram, Muthukur Road, Nellore, Distt.- Nellore, Andhra Pradesh, Pin Code- 524003",Bollineni Krishnaiah Charitable Trust,Nellore,Andhra Pradesh,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:07:48.200501
