sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,sector,programme,annual_intake,state,academic_year,page_number,extraction_timestamp,source_url
11,College Of Nursing,"College Of Nursing,, St. Stephen's Hospital Tis Hazari, Delhi, Delhi, Distt.- Central Delhi, Delhi, Pin Code- 110054",St. Stephen's Hospital Society,Central Delhi,Private,P B B.Sc(N),20 (Twenty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
12,Delhi College Of Nursing,"Delhi College Of Nursing, 3 A,4 A,5 &Amp; 5 A(B), Phase I, Shyam Vihar, Roshanpura, Distt.- South West Delhi, Delhi, Pin Code- 110043",Shri Shyama Health Trust,South West Delhi,Private,GNM,30 (Thirty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
13,Dpmi School Of Nursing,"Dpmi School Of Nursing, B-28 & B-5, New Ashok Nagar,Delhi-110096, New Ashok Nagar, Distt.- East Delhi, Delhi, Pin Code- 110096",Para Medical Technology Society Of India,East Delhi,Private,ANM,40 (Forty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
13,Dpmi School Of Nursing,"Dpmi School Of Nursing, B-28 & B-5, New Ashok Nagar,Delhi-110096, New Ashok Nagar, Distt.- East Delhi, Delhi, Pin Code- 110096",Para Medical Technology Society Of India,East Delhi,Private,GNM,40 (Forty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
14,Dr Ram Manohar Lohia Hospital,"Dr Ram Manohar Lohia Hospital, College Of Nursing, College Of Nusing Dr.Rml Hospital, New Delhi, Distt.- Central Delhi, Delhi, Pin Code- 110001",Govenment Of Delhi,Central Delhi,Government,B.Sc(N),50 (Fifty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
15,Florence Nightingale College Of Nursing,"Florence Nightingale College Of Nursing, Guru Teg Bahadur Hospital, Dilshad Garden, Shahdara, New Delhi, Distt.- North East Delhi, Delhi, Pin Code- 110095",Govt. Of Nct Of Delhi,North East Delhi,Government,B.Sc(N),70 (Seventy),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
16,Ginnidevi Action School Of Nursing,"Ginnidevi Action School Of Nursing, A-4 Paschim Vihar , New Delhi, Distt.- West Delhi, Delhi, Pin Code- 110063",Lala Munni Lal Mange Ram Charitable Trust,West Delhi,Private,GNM,30 (Thirty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
17,Holy Family College Of Nursing,"Holy Family College Of Nursing, Okhla Road, New Delhi, Distt.- South East Delhi, Delhi, Pin Code- 110025",The New Delhi Holy Family Hospital,South East Delhi,Private,GNM,50 (Fifty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
17,Holy Family College Of Nursing,"Holy Family College Of Nursing, Okhla Road, New Delhi, Distt.- South East Delhi, Delhi, Pin Code- 110025",The New Delhi Holy Family Hospital,South East Delhi,Private,B.Sc(N),50 (Fifty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
17,Holy Family College Of Nursing,"Holy Family College Of Nursing, Okhla Road, New Delhi, Distt.- South East Delhi, Delhi, Pin Code- 110025",The New Delhi Holy Family Hospital,South East Delhi,Private,M. Sc (N),25 (Twenty Five) 5 In Each Speciality,Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
17,Holy Family College Of Nursing,"Holy Family College Of Nursing, Okhla Road, New Delhi, Distt.- South East Delhi, Delhi, Pin Code- 110025",The New Delhi Holy Family Hospital,South East Delhi,Private,P B B.Sc(N),30 (Thirty),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
17,Holy Family College Of Nursing,"Holy Family College Of Nursing, Okhla Road, New Delhi, Distt.- South East Delhi, Delhi, Pin Code- 110025",The New Delhi Holy Family Hospital,South East Delhi,Private,NURSE PRACTITIONER IN CRITICAL CARE(NPCC),10 (Ten),Delhi,2025-2026,1,2026-09-11T10:43:59.001711,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
1,Impact Paramedical & Health Institute College Of Nursing,"Impact Paramedical & Health Institute College Of Nursing, G-99/1 Laxmi Park, Nangloi,New Delhi, New Delhi, Distt.- West Delhi, Delhi, Pin Code- 110041",Impact Paramedical And Health Institute,West Delhi,Private,ANM,40 (Forty),Delhi,2025-2026,2,2026-09-11T10:44:09.832149,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx
