sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
12,Cmr College Of Nursing,"Cmr College Of Nursing, Kandlakoya Village Medchal, Hyderabad, Distt.- Medchal, Telangana, Pin Code- 501401",Cmr Technical Education Society,Medchal,Telangana,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
12,Cmr College Of Nursing,"Cmr College Of Nursing, Kandlakoya Village Medchal, Hyderabad, Distt.- Medchal, Telangana, Pin Code- 501401",Cmr Technical Education Society,Medchal,Telangana,Private,B.Sc(N),100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
13,Deepthi College Of Nursing,"Deepthi College Of Nursing, 5-11-261/1, Shanthi Nagar, Nalgonda, Distt.- Ranga Reddy, Telangana, Pin Code- 508001",Mother Theresa Education And Rural Development Society,Ranga Reddy,Telangana,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
14,Deepthi College Of Nursing,"Deepthi College Of Nursing, H.No. 5-5-180/1 P/2 Sahebnagar Khurd (Vi), Hayath Nagar, Hayath Nagar, Distt.- Ranga Reddy, Telangana, Pin Code- 500068",Deepthi Health And Educational Society,Ranga Reddy,Telangana,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
15,Devs College Of Nursing,"Devs College Of Nursing, Deva Nager, Ankireddypalli, Keesara(M) , Medchal - Malkajgiri , Distt.- Medchal, Telangana, Pin Code- 501301",Devs Medical And Educational Society,Medchal,Telangana,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
16,Dr. Patnam Mahender Reddy College Of Nursing,"Dr. Patnam Mahender Reddy College Of Nursing, Chevella Village, Chevella Mandal, Chevella, Distt.- Ranga Reddy, Telangana, Pin Code- 501503",Rinish Educational Society,Ranga Reddy,Telangana,Private,B.Sc(N),100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
17,Durgabai Deshmukh College Of Nursing,"Durgabai Deshmukh College Of Nursing, C/O Durgabai Deshmukh Hospital Res. Centre, Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500044",Durgabai Deshmukh Mahila Sabha,Hyderabad,Telangana,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
18,Eashwari Bai Memorial College Of Nursing,"Eashwari Bai Memorial College Of Nursing, H. No. 10-1-5/C, Road No-4,West Marredpally, Secunderabad, Distt.- Hyderabad, Telangana, Pin Code- 500026",Smt J Eashwari Bai Memorial Trust,Hyderabad,Telangana,Private,P B B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
18,Eashwari Bai Memorial College Of Nursing,"Eashwari Bai Memorial College Of Nursing, H. No. 10-1-5/C, Road No-4,West Marredpally, Secunderabad, Distt.- Hyderabad, Telangana, Pin Code- 500026",Smt J Eashwari Bai Memorial Trust,Hyderabad,Telangana,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
18,Eashwari Bai Memorial College Of Nursing,"Eashwari Bai Memorial College Of Nursing, H. No. 10-1-5/C, Road No-4,West Marredpally, Secunderabad, Distt.- Hyderabad, Telangana, Pin Code- 500026",Smt J Eashwari Bai Memorial Trust,Hyderabad,Telangana,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
