sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
9,Armed Forces Medical College & Hospital,"Armed Forces Medical College & Hospital, College Of Nursing Afmc Wanowarie Pune , Pune, Distt.- Pune, Maharashtra, Pin Code- 411040",Armed Forces,Pune,Maharashtra,Government,Post Basic Diploma in Neonatal nursing,8 (Eight),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
10,Asharam School Of Nursing,"Asharam School Of Nursing, C/O Asha Hospital,Lekha Nagar,Cantonment,Kamptee Nagpur Road, Kamptee, Distt.- Nagpur, Maharashtra, Pin Code- 441001",Manakchand Prabhudan Charitable Trust,Nagpur,Maharashtra,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
11,Ashirwad Nursing School,"Ashirwad Nursing School, At Post Rahuri Factory, Rahuri Factory, Distt.- Ahmednagar, Maharashtra, Pin Code- 413706",Convent Of Jesus Of Mary,Ahmednagar,Maharashtra,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
12,Ashwini Institute Of Nursing,"Ashwini Institute Of Nursing, Survey No-10/2,Mangal Complex,Asara Chowk, Hotgi Road, Solapur, Distt.- Solapur, Maharashtra, Pin Code- 413003",Ashwini Sahakari Rugnalaya Ani Sanshodhan Kendra Niy. Solapur,Solapur,Maharashtra,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
13,B Y L Nair Charitable Hospital,"B Y L Nair Charitable Hospital, Dr.A.L.Nair Road , Mumbai-Central, Distt.- Mumbai, Maharashtra, Pin Code- 400008",Mumbai Muncipal Corporation,Mumbai,Maharashtra,Government,GNM,100 (One Hundred,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
14,Bel-Air College Of Nursing,"Bel-Air College Of Nursing, Dalkeith, Panchgani , Distt.- Satara, Maharashtra, Pin Code- 412805",Indian Red Cross Society,Satara,Maharashtra,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
14,Bel-Air College Of Nursing,"Bel-Air College Of Nursing, Dalkeith, Panchgani , Distt.- Satara, Maharashtra, Pin Code- 412805",Indian Red Cross Society,Satara,Maharashtra,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
15,Beleshwar College Of Nursing,"Beleshwar College Of Nursing, Beleshwar Nagar Nandkheda Road Opposite Pardeshwar Mandir , Parbhani , Distt.- Parbhani, Maharashtra, Pin Code- 431401",Beleshwar Shikshan Prasarak Mandal,Parbhani,Maharashtra,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
15,Beleshwar College Of Nursing,"Beleshwar College Of Nursing, Beleshwar Nagar Nandkheda Road Opposite Pardeshwar Mandir , Parbhani , Distt.- Parbhani, Maharashtra, Pin Code- 431401",Beleshwar Shikshan Prasarak Mandal,Parbhani,Maharashtra,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
15,Beleshwar College Of Nursing,"Beleshwar College Of Nursing, Beleshwar Nagar Nandkheda Road Opposite Pardeshwar Mandir , Parbhani , Distt.- Parbhani, Maharashtra, Pin Code- 431401",Beleshwar Shikshan Prasarak Mandal,Parbhani,Maharashtra,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
