sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,A.H.S Nursing College,"A.H.S Nursing College, Ahs Building, Jail Chowk, Tajpur Road, Samastipur, Bihar, Pin: 848129, Samastipur, Distt.- Samastipur, Bihar, Pin Code- 848129",Sir Syed Educational And Charitable Trust,Samastipur,Bihar,Private,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
1,A.H.S Nursing College,"A.H.S Nursing College, Ahs Building, Jail Chowk, Tajpur Road, Samastipur, Bihar, Pin: 848129, Samastipur, Distt.- Samastipur, Bihar, Pin Code- 848129",Sir Syed Educational And Charitable Trust,Samastipur,Bihar,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
1,A.H.S Nursing College,"A.H.S Nursing College, Ahs Building, Jail Chowk, Tajpur Road, Samastipur, Bihar, Pin: 848129, Samastipur, Distt.- Samastipur, Bihar, Pin Code- 848129",Sir Syed Educational And Charitable Trust,Samastipur,Bihar,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
2,Alay Fatima Hai College Of Nursing,"Alay Fatima Hai College Of Nursing, Paras Hmri Hospital Campus, Raja Bazar, Bailey Road, Patna, Bihar 800014, Patna, Distt.- Patna, Bihar, Pin Code- 800014",Hai Medicare Research And Educational Foundation Society,Patna,Bihar,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
3,All India Institute Of Medical Sciences College Of Nursing,"All India Institute Of Medical Sciences College Of Nursing, Phulwari Sharif, Patna, Distt.- Patna, Bihar, Pin Code- 801507",Government Of Bihar,Patna,Bihar,Government,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
4,Anm School Gogri Khagaria,"Anm School Gogri Khagaria, Anm School Gogri Khagaria,(Chhoti Pasarha) Pin-851212, Khagaria, Distt.- Khagaria, Bihar, Pin Code- 851212",Bihar Goverment,Khagaria,Bihar,Government,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
5,Anm School Muzaffarpur,"Anm School Muzaffarpur, Anm School Sadar Hospital Campus, Bank Road , Muzaffarpur, Distt.- Muzaffarpur, Bihar, Pin Code- 842001",Govt Of Bihar,Muzaffarpur,Bihar,Government,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
6,Anm School Of Nursing,"Anm School Of Nursing, Sadar Hospital, , Distt.- Kishanganj, Bihar, Pin Code- 855107",,Kishanganj,Bihar,Government,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
7,Anm School Sukhpur Supaul,"Anm School Sukhpur Supaul, Anm School Sukhpur, Supaulpin Code 852130Mob 7858007272, Supaul, Distt.- Supaul, Bihar, Pin Code- 852130",Health Department Bihar,Supaul,Bihar,Government,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
8,Anm Training School Sdh Tarapur,"Anm Training School Sdh Tarapur, Munger, Sub Divisional Hospital Tarapur, Munger, Tarapur, Distt.- Munger, Bihar, Pin Code- 813221",Bihar Government,Munger,Bihar,Government,ANM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:17.171152
