sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,College Of Nursing,"College Of Nursing, Government Medical College &Amp; Hospital, Sector -32, Chandigarh, Distt.- Ut Chandigarh, Chandigarh, Pin Code- 160031",Government Institution,Ut Chandigarh,Chandigarh,Government,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:46.490450
2,Government Medical College And Hospital,"Government Medical College And Hospital, Chandigarh, Government Medical College And Hospital, Sector-32, Chandigarh, Chandigarh, Distt.- Ut Chandigarh, Chandigarh, Pin Code- 160032",Government Institution,Ut Chandigarh,Chandigarh,Government,M. Sc (N),04 (Four),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:46.490450
3,National Institute Of Nursing Education,"National Institute Of Nursing Education, ( P G I Hospital), , Distt.- Ut Chandigarh, Chandigarh, Pin Code- 160012",Government Institution,Ut Chandigarh,Chandigarh,Government,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:46.490450
3,National Institute Of Nursing Education,"National Institute Of Nursing Education, ( P G I Hospital), , Distt.- Ut Chandigarh, Chandigarh, Pin Code- 160012",Government Institution,Ut Chandigarh,Chandigarh,Government,M. Sc (N),"20 :Chn-4, Med Surg-7, Psy-2, Paed-4, Obg-3",2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:46.490450
3,National Institute Of Nursing Education,"National Institute Of Nursing Education, ( P G I Hospital), , Distt.- Ut Chandigarh, Chandigarh, Pin Code- 160012",Government Institution,Ut Chandigarh,Chandigarh,Government,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:10:46.490450
