inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Jammu & kashmir|Kishtwar|BABA GHULAM SHAH BADSHAH UNIVERSITY,Baba Ghulam Shah Badshah University,"Baba Ghulam Shah Badshah University, School Of Nursing Biomedical Sciences Constituent Nursing College , Kishtwar, Distt.- Kishtwar, Jammu Kashmir, Pin Code- 182204",Baba Ghulam Shah Badshah University,Kishtwar,Jammu & kashmir,Government,B.Sc(N),40 (Forty),40,182204,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Jammu|BEE ENN COLLEGE OF NURSING,Bee Enn College Of Nursing,"Bee Enn College Of Nursing, Chak Bhalwal, Jammu, Distt.- Jammu, Jammu & Kashmir, Pin Code- 181122",Bee Enn Charitable Trust,Jammu,Jammu & kashmir,Private,GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),60 (Sixty) | 60 (Sixty) | 25 (Twenty Five) Med Surg-5 Obg-5 Paed-5 Chn-5 Psy-5 | 50 (Fifty),195,181122,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Srinagar|BIBI HALIMA COLLEGE OF NURSING & MED. TECHNOLOGY,Bibi Halima College Of Nursing & Med. Technology,"Bibi Halima College Of Nursing & Med. Technology, Shireen Bagh Kaka Sarai, Zero Bridge, Srinagar, Distt.- Srinagar, Jammu & Kashmir, Pin Code- 190010",J And K Board For Specified Wakfs,Srinagar,Jammu & kashmir,Private,B.Sc(N),60 (Sixty),60,190010,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Pulwama|DOLPHIN INSTITUTE OF MEDICAL SCIENCES AND TECHNOLOGY,Dolphin Institute Of Medical Sciences And Technology,"Dolphin Institute Of Medical Sciences And Technology, Alamdar Colony Trichal , Pulwama, Distt.- Pulwama, Jammu Kashmir, Pin Code- 192301",Dolphin Education Foundation Trust,Pulwama,Jammu & kashmir,Private,B.Sc(N),60 (Sixty),60,192301,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Kathua|FLORENCE NIGHTINGALE SCHOOL OF NURSING,Florence Nightingale School Of Nursing,"Florence Nightingale School Of Nursing, C/O Of Gupta Hospital Research Center, Nh-Kalibari , Kathua, Distt.- Kathua, Jammu Kashmir, Pin Code- 184101",Chuni Lal Health And Education Society,Kathua,Jammu & kashmir,Private,GNM,30 (Thirty),30,184101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Jammu|GALAXY PARA MEDICAL COLLEGE,Galaxy Para Medical College,"Galaxy Para Medical College, Galaxy Enclave Sector - F, (Extin) Sanik Colony, Jammu, Distt.- Jammu, Jammu Kashmir, Pin Code- 180011",Jagdish Education Trust,Jammu,Jammu & kashmir,Private,GNM,40 (Forty),40,180011,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Srinagar|GOVERNMENT COLLEGE FOR NURSING PARAMEDICAL SCIENCES,Government College For Nursing Paramedical Sciences,"Government College For Nursing Paramedical Sciences, Shireen Bagh, , Distt.- Srinagar, Jammu Kashmir, Pin Code- 190010",,Srinagar,Jammu & kashmir,Government,B.Sc(N),90 (Ninety),90,190010,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Anantnag|GOVT NURSING COLLEGE ANANTANG,Govt Nursing College Anantang,"Govt Nursing College Anantang, Gmc Anantnag, Janglat Mandi Anantnag, Anantnag, Distt.- Anantnag, Jammu &Amp; Kashmir, Pin Code- 192101",Government Of Jammu And Kashmir,Anantnag,Jammu & kashmir,Government,B.Sc(N),60 (Sixty),60,192101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Baramulla|HANEEFA COLLEGE OF NURSING,Haneefa College Of Nursing,"Haneefa College Of Nursing, Mazbugh Road Near Fruit Mandi, Sopore, Distt.- Baramulla, Jammu &Amp; Kashmir, Pin Code- 193201",Qudssiya Health Care And Education Trust,Baramulla,Jammu & kashmir,Private,B.Sc(N),40 (Forty),40,193201,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
Jammu & kashmir|Jammu|I G E S INSTITUTE OF NURSING AND HEALTH SCIENCES,I G E S Institute Of Nursing And Health Sciences,"I G E S Institute Of Nursing And Health Sciences, Marble Market, Near Greater Kailash Chowk, Jammu, Distt.- Jammu, Jammu & Kashmir, Pin Code- 180011",Indira Gandhi Educational Society,Jammu,Jammu & kashmir,Private,GNM,50 (Fifty),50,180011,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
