sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
13,Bharti College Of Nursing,"Bharti College Of Nursing, Pulgaon Chowk, Durg, Distt.- Durg, Chhattisgarh, Pin Code- 491001",Shri Jug Mahadev Education Society,Durg,Chhattisgarh,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
14,Bilasa Institute Of Nursing,"Bilasa Institute Of Nursing, Near To Lakhmi Chand Institute Of Technology, Chichirda Road, Bodri, Bilaspur, Distt.- Bilaspur, Chhattisgarh, Pin Code- 495220",Shri Rawatpura Sarkar Lok Kalyan Trust,Bilaspur,Chhattisgarh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
15,Birendra Deepak College Of Nursing,"Birendra Deepak College Of Nursing, Village- Jamgaon, Fingeshwar, Vill.- Jamgaon, Tehsil- Fingeshwar, Distt.- Gariyaband, Chhattisgarh, Pin Code- 493992",Samajik Chetna Manch,Gariyaband,Chhattisgarh,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
16,Bodhni Devi Nursing Institute,"Bodhni Devi Nursing Institute, Post Box No. 10, Near Late Shri Baliram Kashyap Memorial Medical College, Dimrapal, Vill.- Hajariguda, Tehsil- Jagdalpur, Distt.- Baster, Chhattisgarh, Pin Code- 49",Bodhni Devi Educational Society,Baster,Chhattisgarh,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
17,C G Institute Of Nursing,"C G Institute Of Nursing, Near Uslapur Over Bridge, Mungeli Road, Nature City Campus, Vill.- Sakri, Tehsil- Takhatpur, Distt.- Bilaspur, Chhattisgarh, Pin Code- 495001",C G Institute Of Education Pvt Ltd,Bilaspur,Chhattisgarh,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
17,C G Institute Of Nursing,"C G Institute Of Nursing, Near Uslapur Over Bridge, Mungeli Road, Nature City Campus, Vill.- Sakri, Tehsil- Takhatpur, Distt.- Bilaspur, Chhattisgarh, Pin Code- 495001",C G Institute Of Education Pvt Ltd,Bilaspur,Chhattisgarh,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
17,C G Institute Of Nursing,"C G Institute Of Nursing, Near Uslapur Over Bridge, Mungeli Road, Nature City Campus, Vill.- Sakri, Tehsil- Takhatpur, Distt.- Bilaspur, Chhattisgarh, Pin Code- 495001",C G Institute Of Education Pvt Ltd,Bilaspur,Chhattisgarh,Private,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
18,C G School Of Nursing,"C G School Of Nursing, Sector-2, Bajaj Colony, New Rajendra Nagar, Raipur , Distt.- Raipur, Chhattisgarh, Pin Code- 492006",Rishabhdev Education And Research Institute,Raipur,Chhattisgarh,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
18,C G School Of Nursing,"C G School Of Nursing, Sector-2, Bajaj Colony, New Rajendra Nagar, Raipur , Distt.- Raipur, Chhattisgarh, Pin Code- 492006",Rishabhdev Education And Research Institute,Raipur,Chhattisgarh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
19,C M Nursing Institute,"C M Nursing Institute, Chandulal Chandrakar Memorial Hospital, Nehru Nagar, Bhilai, Distt.- Durg, Chhattisgarh, Pin Code- 490020",Chandulal Chandrakar Memorial Hospital,Durg,Chhattisgarh,Private,P B B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:03.581284
1,C M Nursing Institute,"C M Nursing Institute, Chandulal Chandrakar Memorial Hospital, Nehru Nagar, Bhilai, Distt.- Durg, Chhattisgarh, Pin Code- 490020",Chandulal Chandrakar Memorial Hospital,Durg,Chhattisgarh,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
1,C M Nursing Institute,"C M Nursing Institute, Chandulal Chandrakar Memorial Hospital, Nehru Nagar, Bhilai, Distt.- Durg, Chhattisgarh, Pin Code- 490020",Chandulal Chandrakar Memorial Hospital,Durg,Chhattisgarh,Private,M. Sc (N),12 (Twelve) Med Surg-4 Paed-4 Obg-4,2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
2,Career College Of Nursing,"Career College Of Nursing, Loying Road, Post-Jurda, Near Flyover , Vill.- Chitkakani , Tehsil- Raigarh, Distt.- Raigarh, Chhattisgarh, Pin Code- 496001",Career Educom Academy,Raigarh,Chhattisgarh,Private,GNM,25 (Twenty Five),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
2,Career College Of Nursing,"Career College Of Nursing, Loying Road, Post-Jurda, Near Flyover , Vill.- Chitkakani , Tehsil- Raigarh, Distt.- Raigarh, Chhattisgarh, Pin Code- 496001",Career Educom Academy,Raigarh,Chhattisgarh,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
3,Central India College Of Nursing,"Central India College Of Nursing, G.E. Road, Dewada Chowk, Kopedih Road, Vill.- Dewada, Tehsil- Rajnandgaon, Distt.- Rajnandgaon, Chhattisgarh, Pin Code- 491441",Dr. Ramlakhan Gupta Foundation Society,Rajnandgaon,Chhattisgarh,Private,GNM,40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
3,Central India College Of Nursing,"Central India College Of Nursing, G.E. Road, Dewada Chowk, Kopedih Road, Vill.- Dewada, Tehsil- Rajnandgaon, Distt.- Rajnandgaon, Chhattisgarh, Pin Code- 491441",Dr. Ramlakhan Gupta Foundation Society,Rajnandgaon,Chhattisgarh,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
3,Central India College Of Nursing,"Central India College Of Nursing, G.E. Road, Dewada Chowk, Kopedih Road, Vill.- Dewada, Tehsil- Rajnandgaon, Distt.- Rajnandgaon, Chhattisgarh, Pin Code- 491441",Dr. Ramlakhan Gupta Foundation Society,Rajnandgaon,Chhattisgarh,Private,M. Sc (N),5 (Five) Psychiatric Nursing,2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:11:11.625880
