inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Telangana|Ranga Reddy|DEEPTHI COLLEGE OF NURSING,Deepthi College Of Nursing,"Deepthi College Of Nursing, 5-11-261/1, Shanthi Nagar, Nalgonda, Distt.- Ranga Reddy, Telangana, Pin Code- 508001",Mother Theresa Education And Rural Development Society,Ranga Reddy,Telangana,Private,B.Sc(N),50 (Fifty),50,508001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Medchal|DEVS COLLEGE OF NURSING,Devs College Of Nursing,"Devs College Of Nursing, Deva Nager, Ankireddypalli, Keesara(M) , Medchal - Malkajgiri , Distt.- Medchal, Telangana, Pin Code- 501301",Devs Medical And Educational Society,Medchal,Telangana,Private,B.Sc(N),50 (Fifty),50,501301,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Ranga Reddy|DR. PATNAM MAHENDER REDDY COLLEGE OF NURSING,Dr. Patnam Mahender Reddy College Of Nursing,"Dr. Patnam Mahender Reddy College Of Nursing, Chevella Village, Chevella Mandal, Chevella, Distt.- Ranga Reddy, Telangana, Pin Code- 501503",Rinish Educational Society,Ranga Reddy,Telangana,Private,B.Sc(N),100 (One Hundred),100,501503,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Hyderabad|DURGABAI DESHMUKH COLLEGE OF NURSING,Durgabai Deshmukh College Of Nursing,"Durgabai Deshmukh College Of Nursing, C/O Durgabai Deshmukh Hospital Res. Centre, Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500044",Durgabai Deshmukh Mahila Sabha,Hyderabad,Telangana,Private,B.Sc(N),50 (Fifty),50,500044,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Hyderabad|EASHWARI BAI MEMORIAL COLLEGE OF NURSING,Eashwari Bai Memorial College Of Nursing,"Eashwari Bai Memorial College Of Nursing, H. No. 10-1-5/C, Road No-4,West Marredpally, Secunderabad, Distt.- Hyderabad, Telangana, Pin Code- 500026",Smt J Eashwari Bai Memorial Trust,Hyderabad,Telangana,Private,P B B.Sc(N) | GNM | B.Sc(N) | M. Sc (N),30 (Thirty) | 60 (Sixty) | 60 (Sixty) | 20 (Twenty) Med-Sug5 Chn-5 Paed-5obg-5,170,500026,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Warangal Urban|FATHER COLOMBO COLLEGE OF NURSING,Father Colombo College Of Nursing,"Father Colombo College Of Nursing, # 24-7-27, Sy.No.346, Fathimanagar, Kazipet, Kazipet, Distt.- Warangal Urban, Telangana, Pin Code- 506004",Medicare Educational Trust,Warangal Urban,Telangana,Private,B.Sc(N),100 (One Hundred),100,506004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Hyderabad|FERNANDEZ SCHOOL OF NURSING,Fernandez School Of Nursing,"Fernandez School Of Nursing, M.No. 8-2-740/17/10 8-2-740/17/11/2, Bhola Nagar, Road No.12 Banjarahills, Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500034",Fernandez Foundation,Hyderabad,Telangana,Private,Post Basic Diploma in Neonatal nursing | Nurse Practitioner in Midwifery,10 (Ten) | 10 (Ten),20,500034,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:03.691498
Telangana|Ranga Reddy|GLOBAL KASTURBA COLLEGE OF NURSING,Global Kasturba College Of Nursing,"Global Kasturba College Of Nursing, Plot No 651, 9Th Phase Kphb Colony, Venkataramana Colony, Hyderabad, Distt.- Ranga Reddy, Telangana, Pin Code- 500085",Gift Health Foundation,Ranga Reddy,Telangana,Private,B.Sc(N),50 (Fifty),50,500085,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Ranga Reddy|GLOBAL SCHOOL OF NURSING,Global School Of Nursing,"Global School Of Nursing, Plot No 649, Beside Emerald Techno School,Near 9Th Phase, Hafeezpet, Serilingampally, Hyderabad , Distt.- Ranga Reddy, Telangana, Pin Code- 500085",Dr Ravindranath Medical Foundation,Ranga Reddy,Telangana,Private,GNM,30 (Thirty),30,500085,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Mancherial|GOVERNMENT COLLEGE OF NURSING,Government College Of Nursing,"Government College Of Nursing, Mancherial, Director Of Medical Education, Hyderabad, Telangana, Mancherial, Distt.- Mancherial, Telangana, Pin Code- 504208",Telangana,Mancherial,Telangana,Government,B.Sc(N),100 (One Hundred),100,504208,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Mahabubnagar|GOVERNMENT COLLEGE OF NURSING MAHABUBNAGR,Government College Of Nursing Mahabubnagr,"Government College Of Nursing Mahabubnagr, Government College Of Nursing Mch Building 1St Floor Ggh Premises Mahabubnagar , Mahabubnagar , Distt.- Mahabubnagar, Telangana, Pin Code- 509001",Telangana,Mahabubnagar,Telangana,Government,B.Sc(N),60 (Sixty),60,509001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Kamareddy|GOVERNMENT COLLEGE OF NURSING BANSWADA,Government College Of Nursing Banswada,"Government College Of Nursing Banswada, Mch Building, Area Hospital, Banswada, Distt.- Kamareddy, Telangana, Pin Code- 503187",Telangana,Kamareddy,Telangana,Government,B.Sc(N),100 (Hundred),100,503187,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Siddipet|GOVERNMENT COLLEGE OF NURSING- SIDDIPET,Government College Of Nursing- Siddipet,"Government College Of Nursing- Siddipet, 1St Floor, Old Mch Building, Near Buruzu, Siddipet, Distt.- Siddipet, Telangana, Pin Code- 502103",Telangana,Siddipet,Telangana,Government,B.Sc(N),100 (Hundred),100,502103,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Suryapet|GOVERNMENT COLLEGE OF NURSING,Government College Of Nursing,"Government College Of Nursing, Amaravadi Nagar,Thallagadda,Suryapet, Suryapet, Distt.- Suryapet, Telangana, Pin Code- 508213",Govt Of Telangana,Suryapet,Telangana,Government,B.Sc(N),60 (Sixty),60,508213,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Jagtial|GOVERNMENT COLLEGE OF NURSING,Government College Of Nursing,"Government College Of Nursing, Area Hospital, Jagital, Distt.- Jagtial, Telangana, Pin Code- 505327",Govt Of Telangana,Jagtial,Telangana,Government,B.Sc(N),40 (Forty),40,505327,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Jogulamba|GOVERNMENT COLLEGE OF NURSING,Government College Of Nursing,"Government College Of Nursing, Gadwal, Old Sp Office Building, Jogulamba Colony, Gadwal, Distt.- Jogulamba, Telangana, Pin Code- 509125",Government Of Tealngana,Jogulamba,Telangana,Government,B.Sc(N),60 (Sixty),60,509125,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Hyderabad|GOVERNMENT COLLEGE OF NURSING,Government College Of Nursing,"Government College Of Nursing, Gandhi Hospital, Secunderabad, Secunderabad, Distt.- Hyderabad, Telangana, Pin Code- 500003",Govt Of Telangana,Hyderabad,Telangana,Government,B.Sc(N),50 (Fifty),50,500003,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Sangareddy|GOVERNMENT COLLEGE OF NURSING,Government College Of Nursing,"Government College Of Nursing, Government College Of Nursing, Sangareddynear Police Quaters, Rajampet Road, Sangareddy, Sangareddy, Distt.- Sangareddy, Telangana, Pin Code- 502001",Telangana,Sangareddy,Telangana,Government,B.Sc(N),60 (Sixty),60,502001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Wanaparthy|GOVERNMENT COLLEGE OF NURSING,Government College Of Nursing,"Government College Of Nursing, H.No : 6-77, Bhagiratha Functionhall, Bhagiratha Colony, Wanaparthy, Distt.- Wanaparthy, Telangana, Pin Code- 509103",Telangana,Wanaparthy,Telangana,Government,B.Sc(N),60 (Sixty),60,509103,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Mahabubabad|GOVERNMENT COLLEGE OF NURSING,Government College Of Nursing,"Government College Of Nursing, Mahabubabad, Indhira Nagar Colony, Behind Old Collectorate, Mahabubabad, Mahabubabad, Distt.- Mahabubabad, Telangana, Pin Code- 506101",Telangana,Mahabubabad,Telangana,Government,B.Sc(N),60 (Sixty),60,506101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Nalgonda|GOVERNMENT COLLEGE OF NURSING,Government College Of Nursing,"Government College Of Nursing, Mahilapranganam,Miryalaguda Road,Nalgonda, Nalgonda, Distt.- Nalgonda, Telangana, Pin Code- 508001",Telangana,Nalgonda,Telangana,Government,B.Sc(N),60 (Sixty),60,508001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Adilabad|GOVERNMENT COLLEGE OF NURSING,Government College Of Nursing,"Government College Of Nursing, Rajiv Gandhi Institute Of Medical Sciences, Adilabad, Distt.- Adilabad, Telangana, Pin Code- 504001",Govt Of Telangana,Adilabad,Telangana,Government,B.Sc(N),50 (Fifty),50,504001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Warangal Urban|GOVT. COLLEGE OF NURSING,Govt. College Of Nursing,"Govt. College Of Nursing, Kakatiya Medical College Campus,&#9;Hanamkonda, Vill.- Hanamkonda, Tehsil- Hanamkonda, Distt.- Warangal Urban, Telangana, Pin Code- 506007",Govt Of Telangana,Warangal Urban,Telangana,Government,B.Sc(N),80 (Eighty),80,506007,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Hyderabad|GOVT. COLLEGE OF NURSING,Govt. College Of Nursing,"Govt. College Of Nursing, Raj Bhavan Road, Somajiguda, Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500082",Government Of Telangana,Hyderabad,Telangana,Government,M. Sc (N) | B.Sc(N) | P B B.Sc(N),"30 (Thirty) Med Surg-10, Paed-5, Obg-10, Chn-5 | 60 (Sixty) | 10 (Ten)",100,500082,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Bhadradri|GOVT.COLLEGE OF NURSING,Govt.College Of Nursing,"Govt.College Of Nursing,Kothagudem, H.No-9-1-29 & 9-1-30, Rama Talkies Road, Opp.Abn Office, Beside Bhupathi Rao Hospital, Kothagudem, Kothagudem, Distt.- Bhadradri, Telangana, Pin Code- 507101",Telangana State,Bhadradri,Telangana,Government,B.Sc(N),60 (Sixty),60,507101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Hyderabad|HOLY FATIMA SCHOOL OF NURSING,Holy Fatima School Of Nursing,"Holy Fatima School Of Nursing, Road No.29, Alakpoor, Township,Narsingi, Vill.- Mehdipatnam, Tehsil- Asifnagar, Distt.- Hyderabad, Telangana, Pin Code- 500028",Mekka Madina Trust For Education And Health,Hyderabad,Telangana,Private,GNM,45 (Forty Five),45,500028,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Hyderabad|HOLY MARY COLLEGE OF NURSING,Holy Mary College Of Nursing,"Holy Mary College Of Nursing, Plot No.1,Alkapoor, Narsingi, Behind Militery Play Ground, Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500089",Muslim Minorities Education,Hyderabad,Telangana,Private,B.Sc(N) | M. Sc (N) | P B B.Sc(N),60 (Sixty) | 25 (Twenty Five) Med-Surg-5 Chn-5 Obg-5 Paed-5 Psy-5 | 30 (Thirty),115,500089,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Medchal|IMAGE MADHAPUR COLLEGE OF NURSING,Image Madhapur College Of Nursing,"Image Madhapur College Of Nursing, Plot No:59, Rock Garden, Yapral, Hyderabad, Distt.- Medchal, Telangana, Pin Code- 500073",Pragathi Education Society,Medchal,Telangana,Private,B.Sc(N),50 (Fifty),50,500073,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Hyderabad|INDO- AMERICAN COLLEGE OF NURSING,Indo- American College Of Nursing,"Indo- American College Of Nursing,, Road No. 14, Banjara Hills,, Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500034",Shreemati Nandamuri Basava Taraka Ramarao Mem.,Hyderabad,Telangana,Private,B.Sc(N) | P B B.Sc(N) | Post Basic Diploma in Oncology Nursing,50 (Fifty) | 30 (Thirty) | 10 (Ten),90,500034,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Hyderabad|J M J SCHOOL OF NURSING,J M J School Of Nursing,"J M J School Of Nursing, St. Theresa's Hospital Campus, Sanathnagar, Hyderabad, Distt.- Hyderabad, Telangana, Pin Code- 500018",,Hyderabad,Telangana,Private,GNM | B.Sc(N) | M. Sc (N),45 (Forty Five) | 50 (Fifty) | 25 5 In Each Specialtiy,120,500018,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:10.168291
Telangana|Ranga Reddy|JASWANTH SCHOOL OF NURSING,Jaswanth School Of Nursing,"Jaswanth School Of Nursing, 6-148/7, Lalitha Colony Jillelguda Rangareddy Dist Hyderabad Telangana State, Hyderabad, Distt.- Ranga Reddy, Telangana, Pin Code- 500079",Adithya Educational Society,Ranga Reddy,Telangana,Private,GNM,40 (Forty),40,500079,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:16.509900
Telangana|Warangal Urban|JAYA COLLEGE OF B.SC NURSING,Jaya College Of B.Sc Nursing,"Jaya College Of B.Sc Nursing, H No. 6-2-91/1, Kakaji Colony, Jaya Hospital Complex, , Distt.- Warangal Urban, Telangana, Pin Code- 506011",Jaya Educational Society,Warangal Urban,Telangana,Private,B.Sc(N),40 (Forty),40,506011,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:39:16.509900
