sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
10,Dr Anjuli Nayak Nursing School,"Dr Anjuli Nayak Nursing School, Dewlahlane , Imphal, Distt.- Imphal East, Manipur, Pin Code- 795001",Kuki Christian Church Assembly,Imphal East,Manipur,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
10,Dr Anjuli Nayak Nursing School,"Dr Anjuli Nayak Nursing School, Dewlahlane , Imphal, Distt.- Imphal East, Manipur, Pin Code- 795001",Kuki Christian Church Assembly,Imphal East,Manipur,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
11,Female Health Worker Training School,"Female Health Worker Training School, , Imphal, Distt.- Imphal West, Manipur, Pin Code- 795004",Family Welfare Dept Govt Of Manipur,Imphal West,Manipur,Government,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
12,Green Land College Of Nursing,"Green Land College Of Nursing, Khopijang, Chandel, Distt.- Senapati, Manipur, Pin Code- 795101",People Healthcare And Development Organisation,Senapati,Manipur,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
13,Irngbam Thamcha Devi Nursing And Health Care Research Institute,"Irngbam Thamcha Devi Nursing And Health Care Research Institute, Uripok, Khoisnam Leikai, Imphal, Distt.- Imphal West, Manipur, Pin Code- 795001",All Manipur Management And Development Training And Research Centre,Imphal West,Manipur,Private,P B B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
14,Jawaharlal Nehru School Of Nursing,"Jawaharlal Nehru School Of Nursing, Soibam Leikai, Imphal , Distt.- Imphal East, Manipur, Pin Code- 795005",Human Care Organisation,Imphal East,Manipur,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
15,Kangleipak Medical And Nursing Institute,"Kangleipak Medical And Nursing Institute, Khurai Konsam Leikai,Paonam Leirak , Imphal , Distt.- Imphal East, Manipur, Pin Code- 795010",Kangleipak Medical And Nursing Institute,Imphal East,Manipur,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
15,Kangleipak Medical And Nursing Institute,"Kangleipak Medical And Nursing Institute, Khurai Konsam Leikai,Paonam Leirak , Imphal , Distt.- Imphal East, Manipur, Pin Code- 795010",Kangleipak Medical And Nursing Institute,Imphal East,Manipur,Private,M. Sc (N),08 (Eight) Med Surg-02 Paed-02 Psy-02 Obg-02,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
15,Kangleipak Medical And Nursing Institute,"Kangleipak Medical And Nursing Institute, Khurai Konsam Leikai,Paonam Leirak , Imphal , Distt.- Imphal East, Manipur, Pin Code- 795010",Kangleipak Medical And Nursing Institute,Imphal East,Manipur,Private,P B B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
16,L Chaobi Nursing Institute,"L Chaobi Nursing Institute, J.N Hospital Road, Porompat (Pong Lambi) , Imphal, Distt.- Imphal East, Manipur, Pin Code- 795005",Development Of Community Society,Imphal East,Manipur,Private,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
17,Leirik Institute Of Nursing,"Leirik Institute Of Nursing, Sangaiprou, Imphal, Distt.- Imphal West, Manipur, Pin Code- 795001",Leirik Memorial Charitable Society,Imphal West,Manipur,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
18,Manipur Nursing Institute,"Manipur Nursing Institute,, Tentha Thongkhong Bazar, Wangjing, Distt.- Thoubal, Manipur, Pin Code- 795148",Wangjing Tentha Farmers Developement Association,Thoubal,Manipur,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
1,Nightingale Nursing Institute,"Nightingale Nursing Institute, J.N.I.M's Road, Porompat, Imphal East, Vill.- Porompat, Tehsil- Porompat, Distt.- Imphal East, Manipur, Pin Code- 795010",Society For Rural Development,Imphal East,Manipur,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
2,R D O College Of Nursing,"R D O College Of Nursing, Lamdeng , Imphal, Distt.- Imphal West, Manipur, Pin Code- 795146",Rural Development Organization,Imphal West,Manipur,Private,GNM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
2,R D O College Of Nursing,"R D O College Of Nursing, Lamdeng , Imphal, Distt.- Imphal West, Manipur, Pin Code- 795146",Rural Development Organization,Imphal West,Manipur,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
2,R D O College Of Nursing,"R D O College Of Nursing, Lamdeng , Imphal, Distt.- Imphal West, Manipur, Pin Code- 795146",Rural Development Organization,Imphal West,Manipur,Private,P B B.Sc(N),20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
