sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
7,Aurovindo School Of Nursing Research,"Aurovindo School Of Nursing Research, 160/2, Near Sagar Public School, Sikandrabad, Patwari Halka No-41, Revenue Inspector Circle No-03, Vikaskhand Phhanda, Ratibad Phhanda Road, Vill.- Silkandrab",Vivekanand Vichardham Shiksha Avam Samaj Kalyan Samiti,Bhopal,Madhya Pradesh,Private,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
7,Aurovindo School Of Nursing Research,"Aurovindo School Of Nursing Research, 160/2, Near Sagar Public School, Sikandrabad, Patwari Halka No-41, Revenue Inspector Circle No-03, Vikaskhand Phhanda, Ratibad Phhanda Road, Vill.- Silkandrab",Vivekanand Vichardham Shiksha Avam Samaj Kalyan Samiti,Bhopal,Madhya Pradesh,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
7,Aurovindo School Of Nursing Research,"Aurovindo School Of Nursing Research, 160/2, Near Sagar Public School, Sikandrabad, Patwari Halka No-41, Revenue Inspector Circle No-03, Vikaskhand Phhanda, Ratibad Phhanda Road, Vill.- Silkandrab",Vivekanand Vichardham Shiksha Avam Samaj Kalyan Samiti,Bhopal,Madhya Pradesh,Private,M. Sc (N),25 (Twenty Five) Med. Surg-5 Paed-5 Chn-5 Obg-5 Psy-5,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
8,Auxiliary Nurse And Midwife Health Workers' School / Augustine College Of Nursing,"Auxiliary Nurse And Midwife Health Workers' School / Augustine College Of Nursing, C/O Karuna Hospital, Old A B Road, Pipaldhar, Vill.- Pipaldhar, Tehsil- Niwali, Distt.- Barwani, Madhya Pradesh,",St.Augustine Social Service Society,Barwani,Madhya Pradesh,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
8,Auxiliary Nurse And Midwife Health Workers' School / Augustine College Of Nursing,"Auxiliary Nurse And Midwife Health Workers' School / Augustine College Of Nursing, C/O Karuna Hospital, Old A B Road, Pipaldhar, Vill.- Pipaldhar, Tehsil- Niwali, Distt.- Barwani, Madhya Pradesh,",St.Augustine Social Service Society,Barwani,Madhya Pradesh,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
9,B I M T S College Of Nursing,"B I M T S College Of Nursing, Khasra No. 180/1 180/2, Khandwa Road, Jhiri Panchyat, Burhanpur, Distt.- Burhanpur, Madhya Pradesh, Pin Code- 450331",Iswam Academy Of Technical And General Edu,Burhanpur,Madhya Pradesh,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
10,Bharat Institute Of Nursing,"Bharat Institute Of Nursing, Ukwa, Rupjhar, Ukwa Rupjhar , Distt.- Balaghat, Madhya Pradesh, Pin Code- 481105",Rastogi Education,Balaghat,Madhya Pradesh,Private,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
11,Bharat Institute Of Nursing,"Bharat Institute Of Nursing, Ward No.-13, Near Mandla Bus Stand, Old Dindori , Dindori, Distt.- Dindori, Madhya Pradesh, Pin Code- 481880",Rastogi Education,Dindori,Madhya Pradesh,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
12,Bharti School Of Nursing,"Bharti School Of Nursing, Near Rml Iti Hawai Patti Bagdona Sarni, Vill.- Bagdona, Tehsil- Ghoda Dongri, Distt.- Betul, Madhya Pradesh, Pin Code- 460449",Public Awarness And Skill Devlopment Socity,Betul,Madhya Pradesh,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
13,Bhopal Nursing College,"Bhopal Nursing College, Bhopal Memorial Hospital And Research Centre, Raisen Bypass Road, Karond , Karoumdh, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462038",Bhopal Memorial Hospital Trust,Bhopal,Madhya Pradesh,Government,B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
