sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
15,Bhava Institute Of Medical Science & Research,"Bhava Institute Of Medical Science & Research, Plot -1480, I R C Village, Nayapalli, , Distt.- Khordha, Orissa, Pin Code- 751015",Asian Institute Of Technology,Khordha,Orissa,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
16,Bhubaneswar College Of Nursing,"Bhubaneswar College Of Nursing, At/Po- Uttamapur, Balikuda, Vill.- Uttamapur, Tehsil- Cuttacksadar, Distt.- Cuttack, Orissa, Pin Code- 753011",Palli Vikash,Cuttack,Orissa,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
16,Bhubaneswar College Of Nursing,"Bhubaneswar College Of Nursing, At/Po- Uttamapur, Balikuda, Vill.- Uttamapur, Tehsil- Cuttacksadar, Distt.- Cuttack, Orissa, Pin Code- 753011",Palli Vikash,Cuttack,Orissa,Private,P B B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
17,Bhubaneswar School Of Nursing,"Bhubaneswar School Of Nursing, 94, Dharmavihar, Post - Khandagiri, Jatani , Distt.- Khordha, Orissa, Pin Code- 751002",Sikhya Sanjog,Khordha,Orissa,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
18,Bidyut School Of Nursing,"Bidyut School Of Nursing, Plot No-1846,Nuasahi,Nayapalli , Bhubaneswar, Distt.- Khordha, Orissa, Pin Code- 751012",Gyana Jyoti Health Care Education Trust,Khordha,Orissa,Private,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
19,Bijupattnaik Nursing Training School,"Bijupattnaik Nursing Training School, At-Debendrapur , Po-Takatpur, Baripada, Distt.- Mayurbhanja, Orissa, Pin Code- 757003",Medical Training Centre Of Briliant Institute Of Pharmaceutical Information Hospital And Technology,Mayurbhanja,Orissa,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
19,Bijupattnaik Nursing Training School,"Bijupattnaik Nursing Training School, At-Debendrapur , Po-Takatpur, Baripada, Distt.- Mayurbhanja, Orissa, Pin Code- 757003",Medical Training Centre Of Briliant Institute Of Pharmaceutical Information Hospital And Technology,Mayurbhanja,Orissa,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
19,Bijupattnaik Nursing Training School,"Bijupattnaik Nursing Training School, At-Debendrapur , Po-Takatpur, Baripada, Distt.- Mayurbhanja, Orissa, Pin Code- 757003",Medical Training Centre Of Briliant Institute Of Pharmaceutical Information Hospital And Technology,Mayurbhanja,Orissa,Private,B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
19,Bijupattnaik Nursing Training School,"Bijupattnaik Nursing Training School, At-Debendrapur , Po-Takatpur, Baripada, Distt.- Mayurbhanja, Orissa, Pin Code- 757003",Medical Training Centre Of Briliant Institute Of Pharmaceutical Information Hospital And Technology,Mayurbhanja,Orissa,Private,P B B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
20,Blue Wheel Institute Of Nursing Sciences,"Blue Wheel Institute Of Nursing Sciences, At/Po- Chandpur, Chandpur, Distt.- Nayagarh, Orissa, Pin Code- 752024",Blue Wheel National Health Care And Educational Trust,Nayagarh,Orissa,Private,GNM,45 (Forty Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:30:32.665621
