inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Maharashtra|Mumbai|B Y L NAIR CHARITABLE HOSPITAL,B Y L Nair Charitable Hospital,"B Y L Nair Charitable Hospital, Dr.A.L.Nair Road , Mumbai-Central, Distt.- Mumbai, Maharashtra, Pin Code- 400008",Mumbai Muncipal Corporation,Mumbai,Maharashtra,Government,GNM,100 (One Hundred,100,400008,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
Maharashtra|Satara|BEL-AIR COLLEGE OF NURSING,Bel-Air College Of Nursing,"Bel-Air College Of Nursing, Dalkeith, Panchgani , Distt.- Satara, Maharashtra, Pin Code- 412805",Indian Red Cross Society,Satara,Maharashtra,Private,ANM | B.Sc(N),40 (Forty) | 40 (Forty),80,412805,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
Maharashtra|Parbhani|BELESHWAR COLLEGE OF NURSING,Beleshwar College Of Nursing,"Beleshwar College Of Nursing, Beleshwar Nagar Nandkheda Road Opposite Pardeshwar Mandir , Parbhani , Distt.- Parbhani, Maharashtra, Pin Code- 431401",Beleshwar Shikshan Prasarak Mandal,Parbhani,Maharashtra,Private,B.Sc(N) | ANM | GNM,40 (Forty) | 20 (Twenty) | 30 (Thirty),90,431401,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
Maharashtra|Pune|BHARATI VIDYAPEETH COLLEGE OF NURSING,Bharati Vidyapeeth College Of Nursing,"Bharati Vidyapeeth College Of Nursing, Satara Road, Dhankawadi , Pune, Distt.- Pune, Maharashtra, Pin Code- 411043","Bharati Vidyapeeth, Pune",Pune,Maharashtra,Private,B.Sc(N) | M. Sc (N) | P B B.Sc(N) | GNM,65 (Sixty Five) | 25 (Twenty Five) Med Surg-6 Paed-5 Obg-5 Chn-5 Psy-4 | 40 (Forty) | 50 (Fifty),180,411043,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:40.564922
Maharashtra|Thane|BHARATI VIDYAPEETH COLLEGE OF NURSING,Bharati Vidyapeeth College Of Nursing,"Bharati Vidyapeeth College Of Nursing,, Sector-7, Rain Tree Marg, Belpada Complex, Opposite Kharghar Railway Station, Cbd Belapur., Thane, Distt.- Thane, Maharashtra, Pin Code- 400614","Bharati Vidyapeeth University, Pune",Thane,Maharashtra,Private,B.Sc(N) | M. Sc (N) | P B B.Sc(N),50 (Fifty) | 25 (Twenty Five) 5 In Each Speciality | 30 (Thirty),105,400614,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:50.024232
Maharashtra|Sangli|BHARATI VIDYAPEETH DEEMED TO BE UNIVERSITY COLLEGE OF NURSING,Bharati Vidyapeeth Deemed To Be University College Of Nursing,"Bharati Vidyapeeth Deemed To Be University College Of Nursing, Sangli, Wanlesswadi, Sangli Miraj Road,Sangli, Sangli, Distt.- Sangli, Maharashtra, Pin Code- 416","Bharati Vidyapeeth Deemed To Be University, Pune",Sangli,Maharashtra,Private,Ph. D | B.Sc(N) | M. Sc (N) | P B B.Sc(N),04 (Four) | 100 (One Hundred) | 25 (Twenty Five) 5 Seats In Each Speciality | 30 (Thirty),159,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:50.024232
Maharashtra|Nashik|BHONSALA INSTITUTE OF NURSING,Bhonsala Institute Of Nursing,"Bhonsala Institute Of Nursing, Rambhoomi Dr. Moonje Marg, , Nashik, Distt.- Nashik, Maharashtra, Pin Code- 422005",Central Hindu Military Education Society,Nashik,Maharashtra,Private,B.Sc(N),50 (Fifty),50,422005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:50.024232
Maharashtra|Mumbai|BOMBAY HOSPITAL COLLEGE OF NURSING,Bombay Hospital College Of Nursing,"Bombay Hospital College Of Nursing, 12, New Marine Lines , Mumbai, Distt.- Mumbai, Maharashtra, Pin Code- 400020",Bombay Hospital Trust,Mumbai,Maharashtra,Private,B.Sc(N) | M. Sc (N),"50 (Fifty) | 20 (Twenty) Paed-06, Chn-06, Med Surg-08",70,400020,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:50.024232
Maharashtra|Thane|CARDINAL GRACIAS MEMORIAL HOSPITAL,Cardinal Gracias Memorial Hospital,"Cardinal Gracias Memorial Hospital, Uday Ger School Of Nursing Bangli Sandor, Palghar, Vasai West, Distt.- Thane, Maharashtra, Pin Code- 401201",Cardinal Gracias Memorial Hospital Trust,Thane,Maharashtra,Private,GNM,25 (Twenty Five),25,401201,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:50.024232
Maharashtra|Nagpur|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, Government Medical College And Hospital, Ajni, Nagpur, Distt.- Nagpur, Maharashtra, Pin Code- 440003","Government Medical College And Hospital,Nagpur",Nagpur,Maharashtra,Government,B.Sc(N) | M. Sc (N),"50 (Fifty) | 25 (Twenty Five) Chn-07, Pead.-06, Psy-06, Med-Surg.-03, Obg-03",75,440003,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:50.024232
Maharashtra|Mumbai|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, I N H S, College Of Nursing Inhs Asvini Near Rc Church , Colaba , Distt.- Mumbai, Maharashtra, Pin Code- 400005",Indian Navy,Mumbai,Maharashtra,Government,B.Sc(N) | Post Basic Diploma in Critical care nursing | Post Basic Diploma in Emergency &amp; Disaster Nursing | Post Basic Diploma in Oncology Nursing | Post Basic Diploma in Neonatal nursing | Nurse Practitioner in Midwifery | M. Sc (N),50 (Fifty) | 15 (Fifteen) | 15 (Fifteen) | 15 (Fifteen) | 15 (Fifteen) | 20 (Twenty) | 25 Med-Surg-12 Obg-4 Paed-4 Chn-5,155,400005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:50.024232
Maharashtra|Sangli|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing,, Wanless Hospital, Miraj Medical Centre, Dr. A.G. Fletcher Road, Miraj, Distt.- Sangli, Maharashtra, Pin Code- 416410",Miraj Medical Centres,Sangli,Maharashtra,Private,B.Sc(N) | GNM,50 (Fifty) | 40 (Forty),90,416410,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:50.024232
Maharashtra|Pune|D E SOCIETYS SMT. SUBHADRA K. JINDAL COLLEGE OF NURSING,D E Societys Smt. Subhadra K. Jindal College Of Nursing,"D E Societys Smt. Subhadra K. Jindal College Of Nursing, Fergusson College Campus,Shivajinagar, Pune, Distt.- Pune, Maharashtra, Pin Code- 411004",Deccan Education Society,Pune,Maharashtra,Private,B.Sc(N) | M. Sc (N),"40 (Forty) | 15 (Fifteen) Obg-5, Med Surg-6, Psy-2, Chn-2",55,411004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:27:50.024232
