sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
7,East Coast Institute Of Medical Sciences,"East Coast Institute Of Medical Sciences, No 1, Paris Nagar, Perambai Road, Moolakulam, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605010",East Coast Hospitals Ltd,Puducherry,Pondicherry/Puducherry,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
7,East Coast Institute Of Medical Sciences,"East Coast Institute Of Medical Sciences, No 1, Paris Nagar, Perambai Road, Moolakulam, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605010",East Coast Hospitals Ltd,Puducherry,Pondicherry/Puducherry,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
7,East Coast Institute Of Medical Sciences,"East Coast Institute Of Medical Sciences, No 1, Paris Nagar, Perambai Road, Moolakulam, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605010",East Coast Hospitals Ltd,Puducherry,Pondicherry/Puducherry,Private,M. Sc (N),06 (Six),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
8,Immaculate Institute Of Health Sciences,"Immaculate Institute Of Health Sciences, Idhaya Nagar, Mela Puthamangalam, Karaikal, Distt.- Karaikal, Pondicherry/Puducherry, Pin Code- 609607",Immaculate Heart Of Mary Society Generalate,Karaikal,Pondicherry/Puducherry,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
9,Kasturba Gandhi Nursing College,"Kasturba Gandhi Nursing College,, Mahatma Gandhi Medical College Campus Pondy Cuddalore Main Road Pillaiyarkuppam , Pondicherry , Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 607403",Sri Balaji Educational And Charitable Public Trust,Puducherry,Pondicherry/Puducherry,Private,B.Sc(N),100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
9,Kasturba Gandhi Nursing College,"Kasturba Gandhi Nursing College,, Mahatma Gandhi Medical College Campus Pondy Cuddalore Main Road Pillaiyarkuppam , Pondicherry , Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 607403",Sri Balaji Educational And Charitable Public Trust,Puducherry,Pondicherry/Puducherry,Private,M. Sc (N),25 (Twenty Five) Med-Surg-5 Chn-5 Psy-5 Paed-5 Obg-5,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
9,Kasturba Gandhi Nursing College,"Kasturba Gandhi Nursing College,, Mahatma Gandhi Medical College Campus Pondy Cuddalore Main Road Pillaiyarkuppam , Pondicherry , Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 607403",Sri Balaji Educational And Charitable Public Trust,Puducherry,Pondicherry/Puducherry,Private,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
9,Kasturba Gandhi Nursing College,"Kasturba Gandhi Nursing College,, Mahatma Gandhi Medical College Campus Pondy Cuddalore Main Road Pillaiyarkuppam , Pondicherry , Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 607403",Sri Balaji Educational And Charitable Public Trust,Puducherry,Pondicherry/Puducherry,Private,NURSE PRACTITIONER IN CRITICAL CARE(NPCC),10 (Ten),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
10,Mother Teresa Institute Of Health Sciences,"Mother Teresa Institute Of Health Sciences, School Of Nursing, Indra Nagar, Gori Medu, Vill.- Puducherry, Tehsil- Oulgaret, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605006",Govt Of Puducherry,Puducherry,Pondicherry/Puducherry,Government,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
10,Mother Teresa Institute Of Health Sciences,"Mother Teresa Institute Of Health Sciences, School Of Nursing, Indra Nagar, Gori Medu, Vill.- Puducherry, Tehsil- Oulgaret, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605006",Govt Of Puducherry,Puducherry,Pondicherry/Puducherry,Government,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
11,Mother Theresa Post Graduate & Research Institute Of Health Sciences,"Mother Theresa Post Graduate & Research Institute Of Health Sciences, Government General Hospital, Yanam, Distt.- Yanam, Pondicherry/Puducherry, Pin Code- 533464",Mother Theresa Post Graduate And Research Institute Of Health Science,Yanam,Pondicherry/Puducherry,Government,ANM,12 (Twelve),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
11,Mother Theresa Post Graduate & Research Institute Of Health Sciences,"Mother Theresa Post Graduate & Research Institute Of Health Sciences, Government General Hospital, Yanam, Distt.- Yanam, Pondicherry/Puducherry, Pin Code- 533464",Mother Theresa Post Graduate And Research Institute Of Health Science,Yanam,Pondicherry/Puducherry,Government,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
12,Mother Theresa Post Graduate And Research Institute Of Health Sciences,"Mother Theresa Post Graduate And Research Institute Of Health Sciences, Indira Nagar, Gorimedu, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605006",Govt Of Puducherry,Puducherry,Pondicherry/Puducherry,Government,B.Sc(N),100 (One Hundred),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
12,Mother Theresa Post Graduate And Research Institute Of Health Sciences,"Mother Theresa Post Graduate And Research Institute Of Health Sciences, Indira Nagar, Gorimedu, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605006",Govt Of Puducherry,Puducherry,Pondicherry/Puducherry,Government,M. Sc (N),"22 (Twenty Two) Med-Surg-5, Obg-5, Chn-5, Psy-7",2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:38.133604
1,Mother Theresa Post Graduate And Research Institute Of Health Sciences,"Mother Theresa Post Graduate And Research Institute Of Health Sciences, Indira Nagar, Gorimedu, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605006",Govt Of Puducherry,Puducherry,Pondicherry/Puducherry,Government,P B B.Sc(N),25 (Twenty Five),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
2,Raak Nursing And Paramedical College,"Raak Nursing And Paramedical College, No. 1, Muthupillai Palayam Road, Sulthanpet Post, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605110",Farouk Educational Trust,Puducherry,Pondicherry/Puducherry,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
3,Sri Manakula Vinayagar Medical College & Hospital Campus,"Sri Manakula Vinayagar Medical College & Hospital Campus,, Kalitheerthalkuppam, Mannadipet Commune, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605107",Sri Manakula Vinayag Educational Trust,Puducherry,Pondicherry/Puducherry,Private,B.Sc(N),100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
3,Sri Manakula Vinayagar Medical College & Hospital Campus,"Sri Manakula Vinayagar Medical College & Hospital Campus,, Kalitheerthalkuppam, Mannadipet Commune, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605107",Sri Manakula Vinayag Educational Trust,Puducherry,Pondicherry/Puducherry,Private,M. Sc (N),15 (Fifteen),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
3,Sri Manakula Vinayagar Medical College & Hospital Campus,"Sri Manakula Vinayagar Medical College & Hospital Campus,, Kalitheerthalkuppam, Mannadipet Commune, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605107",Sri Manakula Vinayag Educational Trust,Puducherry,Pondicherry/Puducherry,Private,P B B.Sc(N),30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
4,Sri Venkateshwara Med College Hosp & Res Centre,"Sri Venkateshwara Med College Hosp & Res Centre, 13-A, Pondy - Villupuram, Main Road, Ariyur, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605102",Ramachandra Educational Trust,Puducherry,Pondicherry/Puducherry,Private,ANM,20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
4,Sri Venkateshwara Med College Hosp & Res Centre,"Sri Venkateshwara Med College Hosp & Res Centre, 13-A, Pondy - Villupuram, Main Road, Ariyur, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605102",Ramachandra Educational Trust,Puducherry,Pondicherry/Puducherry,Private,GNM,20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
4,Sri Venkateshwara Med College Hosp & Res Centre,"Sri Venkateshwara Med College Hosp & Res Centre, 13-A, Pondy - Villupuram, Main Road, Ariyur, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605102",Ramachandra Educational Trust,Puducherry,Pondicherry/Puducherry,Private,B.Sc(N),100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
4,Sri Venkateshwara Med College Hosp & Res Centre,"Sri Venkateshwara Med College Hosp & Res Centre, 13-A, Pondy - Villupuram, Main Road, Ariyur, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605102",Ramachandra Educational Trust,Puducherry,Pondicherry/Puducherry,Private,M. Sc (N),40 (Forty) 8 (Eight) In Each Speciality,2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
4,Sri Venkateshwara Med College Hosp & Res Centre,"Sri Venkateshwara Med College Hosp & Res Centre, 13-A, Pondy - Villupuram, Main Road, Ariyur, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605102",Ramachandra Educational Trust,Puducherry,Pondicherry/Puducherry,Private,P B B.Sc(N),30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
5,Vinayaka Mission's College Of Nursing,"Vinayaka Mission's College Of Nursing, Keezhakasakudimedu, Kottucherry Po, Karaikal, Distt.- Karaikal, Pondicherry/Puducherry, Pin Code- 609609",Thirumuruga Kirupananada Variyar Thavathiru Sundara Swamigal Med,Karaikal,Pondicherry/Puducherry,Private,GNM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
5,Vinayaka Mission's College Of Nursing,"Vinayaka Mission's College Of Nursing, Keezhakasakudimedu, Kottucherry Po, Karaikal, Distt.- Karaikal, Pondicherry/Puducherry, Pin Code- 609609",Thirumuruga Kirupananada Variyar Thavathiru Sundara Swamigal Med,Karaikal,Pondicherry/Puducherry,Private,B.Sc(N),100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
5,Vinayaka Mission's College Of Nursing,"Vinayaka Mission's College Of Nursing, Keezhakasakudimedu, Kottucherry Po, Karaikal, Distt.- Karaikal, Pondicherry/Puducherry, Pin Code- 609609",Thirumuruga Kirupananada Variyar Thavathiru Sundara Swamigal Med,Karaikal,Pondicherry/Puducherry,Private,M. Sc (N),"20 (Twenty) Med-Surg-4, Obg-4, Paed-4, Psy-4, Chn-4",2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
6,Vinayaka Missions's School Of Nursing Sciences,"Vinayaka Missions's School Of Nursing Sciences, Aarupadai Veedu Medical College & Hospital Campus, Cuddalore Main Road, Vill.- Kirumampakkam, Tehsil- Bahour, Distt.- Puducherry, Pondicherry/Puduc",Vinayaka Missions University,Puducherry,Pondicherry/Puducherry,Private,ANM,40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
6,Vinayaka Missions's School Of Nursing Sciences,"Vinayaka Missions's School Of Nursing Sciences, Aarupadai Veedu Medical College & Hospital Campus, Cuddalore Main Road, Vill.- Kirumampakkam, Tehsil- Bahour, Distt.- Puducherry, Pondicherry/Puduc",Vinayaka Missions University,Puducherry,Pondicherry/Puducherry,Private,GNM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
6,Vinayaka Missions's School Of Nursing Sciences,"Vinayaka Missions's School Of Nursing Sciences, Aarupadai Veedu Medical College & Hospital Campus, Cuddalore Main Road, Vill.- Kirumampakkam, Tehsil- Bahour, Distt.- Puducherry, Pondicherry/Puduc",Vinayaka Missions University,Puducherry,Pondicherry/Puducherry,Private,B.Sc(N),100 (One Hundred),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
6,Vinayaka Missions's School Of Nursing Sciences,"Vinayaka Missions's School Of Nursing Sciences, Aarupadai Veedu Medical College & Hospital Campus, Cuddalore Main Road, Vill.- Kirumampakkam, Tehsil- Bahour, Distt.- Puducherry, Pondicherry/Puduc",Vinayaka Missions University,Puducherry,Pondicherry/Puducherry,Private,M. Sc (N),20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
6,Vinayaka Missions's School Of Nursing Sciences,"Vinayaka Missions's School Of Nursing Sciences, Aarupadai Veedu Medical College & Hospital Campus, Cuddalore Main Road, Vill.- Kirumampakkam, Tehsil- Bahour, Distt.- Puducherry, Pondicherry/Puduc",Vinayaka Missions University,Puducherry,Pondicherry/Puducherry,Private,P B B.Sc(N),30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
7,Vivekanandha Nursing College,"Vivekanandha Nursing College, Gopalankadai Road,Iyyankuttipalayam,Puducherry, Puducherry, Distt.- Puducherry, Pondicherry/Puducherry, Pin Code- 605009",Vivekanandha Educational Society,Puducherry,Pondicherry/Puducherry,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:31:46.345482
