inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Jharkhand|West Singhbhum|ANM TRAINING SCHOOL,Anm Training School,"Anm Training School , Sadar Hospital Campus, Chaibasa, Distt.- West Singhbhum, Jharkhand, Pin Code- 833201",Jharkhand Government,West Singhbhum,Jharkhand,Government,ANM,20 (Twenty),20,833201,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Garhwa|AROGYAM HOSPITAL AND NURSING SCHOOL,Arogyam Hospital And Nursing School,"Arogyam Hospital And Nursing School, Vill- Jhalua, P.O.- Kalyanpur, P.S.- Garhwa, Garhwa , Distt.- Garhwa, Jharkhand, Pin Code- 822114",Aarogyam Hospital And Research Private Limited,Garhwa,Jharkhand,Private,ANM | GNM,40 (Forty) | 40 (Forty),80,822114,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Gumla|ASHISH NURSING PRASIKSHAN SANSTHAN,Ashish Nursing Prasikshan Sansthan,"Ashish Nursing Prasikshan Sansthan, Village Post Office - Chharda, Police Station - Sisai, Gumla, Distt.- Gumla, Jharkhand, Pin Code- 835324",Chetna Society,Gumla,Jharkhand,Private,ANM,50 (Fifty),50,835324,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Latehar|AVIRAM GRAMIN VIKAS SWAYAM SEVI SANSTHAN COLLEGE OF NURSING,Aviram Gramin Vikas Swayam Sevi Sansthan College Of Nursing,"Aviram Gramin Vikas Swayam Sevi Sansthan College Of Nursing, Hutup, Pandra, Distt.- Latehar, Jharkhand, Pin Code- 835213",Aviram Gramin Vikas Swayam Sevi Sansthan,Latehar,Jharkhand,Private,B.Sc(N),40 (Forty),40,835213,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Ranchi|AVYAN SCHOOL OF NURSING,Avyan School Of Nursing,"Avyan School Of Nursing, At- Kathalmore, Post- Lalgutwa, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835303",Jharkhand Skilled Development For Rural Mass,Ranchi,Jharkhand,Private,GNM,60 (Sixty),60,835303,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Ranchi|BABU LAL BADAMIYA DEVI INSTITUTE OF HEALTH,Babu Lal Badamiya Devi Institute Of Health,"Babu Lal Badamiya Devi Institute Of Health, Mandar, Ranchi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835214",Utpalaksh Memorial Trust,Ranchi,Jharkhand,Private,ANM | GNM,40 (Forty) | 40 (Forty),80,835214,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Ranchi|BHARAT MATA SCHOOL OF NURSING,Bharat Mata School Of Nursing,"Bharat Mata School Of Nursing, Singhpur, Po- Muri, Ranchi, Jharkhand, Muri, Silli, Distt.- Ranchi, Jharkhand, Pin Code- 835101",Sneharam Charitable Trust,Ranchi,Jharkhand,Private,GNM,40 (Forty),40,835101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Ranchi|BHARATHI COLLEGE OF NURSING,Bharathi College Of Nursing,"Bharathi College Of Nursing, Plot No. - 592, Bharathi College Road, Vill. - Kandri, Po - Mandar, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835214",Bharathi Educational Trust,Ranchi,Jharkhand,Private,GNM,40 (Forty),40,835214,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
Jharkhand|Godda|BHARTI SCHOOL OF NURSING,Bharti School Of Nursing,"Bharti School Of Nursing, At- Pairdih, Po- Kauribahiyar,Ps- Godda, Dist- Godda (Jh)-814133, Godda, Distt.- Godda, Jharkhand, Pin Code- 814133",Bharti Seva Trust,Godda,Jharkhand,Private,ANM,50 (Fifty),50,814133,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Bokaro|BIRSA COLLEGE OF NURSING,Birsa College Of Nursing,"Birsa College Of Nursing, By Pass Road Chas , Chas, Distt.- Bokaro, Jharkhand, Pin Code- 827013",Birsa Vikas Society,Bokaro,Jharkhand,Private,GNM | ANM,60 (Sixty) | 40 (Forty),100,827013,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|East Singhbhum|BNTC SCHOOL OF NURSING AND PARAMEDICAL SCIENCE,Bntc School Of Nursing And Paramedical Science,"Bntc School Of Nursing And Paramedical Science, Road No 14,Bhola Bhagan,Chota Govindpur,Jamshedpur, Jamshedpur, Distt.- East Singhbhum, Jharkhand, Pin Code- 831015",Bntc Educational Foundation,East Singhbhum,Jharkhand,Private,GNM,60 (Sixty),60,831015,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Ranchi|BUDDHA NURSING COLLEGE,Buddha Nursing College,"Buddha Nursing College, Vill+Po-Bijuliya,P.S.-Ratu, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835219",Janjatiya Prashikshan Sansthan,Ranchi,Jharkhand,Private,B.Sc(N),60 (Sixty),60,835219,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Ranchi|CENTRAL INSTITUTE OF PSYCHIATRY,Central Institute Of Psychiatry,"Central Institute Of Psychiatry, Central Institute Of Psychiatry, Kanke, Ranchi, Jharkhand-834006, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834006",Central Institute Of Psychiatry,Ranchi,Jharkhand,Government,M. Sc (N) | Post Basic Diploma in Psychiatric nsg.,10 (Ten) Psy-10 | 15 (Fifteen),25,834006,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Ranchi|CITY NURSING COLLEGE,City Nursing College,"City Nursing College , Itki Road, Piska More, Hehal, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834005",City Trust Hospital And Research Centre,Ranchi,Jharkhand,Private,B.Sc(N) | ANM | GNM,50 (Fifty) | 50 (Fifty) | 60 (Sixty),160,834005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Ranchi|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, Rajendra Institute Of Medical Sciences, ( R.I.M.S) , Bariatu,, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834009",Health Minister Health And Family Welfear Ranchi,Ranchi,Jharkhand,Government,B.Sc(N) | P B B.Sc(N),50 (Fifty) | 30 (Thirty),80,834009,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|East Singhbhum|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, Tata Main Hospital, Northern Town, Bistupur , Jamshedpur, Distt.- East Singhbhum, Jharkhand, Pin Code- 831001",Tata Main Hospital,East Singhbhum,Jharkhand,Private,B.Sc(N),60 (Sixty),60,831001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Ranchi|CONSTANT LIEVENS SCHOOL OF NURSING,Constant Lievens School Of Nursing,"Constant Lievens School Of Nursing, Mandar, Village Katchacho, P.O. P.S. Mandar, , Vill.- Katchacho, Tehsil- Mandar, Distt.- Ranchi, Jharkhand, Pin Code- 835214",The Cathloic Bishop Conference Of India,Ranchi,Jharkhand,Private,GNM,50 (Fifty),50,835214,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Ranchi|DHARTI AABA NURSING COLLEGE,Dharti Aaba Nursing College,"Dharti Aaba Nursing College, Block Chowk Ormanjhi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835219",Dharti Aaba Foundation,Ranchi,Jharkhand,Private,GNM,40 (Forty),40,835219,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Ranchi|DIVINE NURSING COLLEGE,Divine Nursing College,"Divine Nursing College, Birsa Nagar, Near Block Chowk, Kanke Ranchi 834006, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834006",Rukh Divine Foundation,Ranchi,Jharkhand,Private,B.Sc(N) | GNM,40 (Forty) | 40 (Forty),80,834006,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Ranchi|FLORENCE COLLEGE OF NURSING,Florence College Of Nursing,"Florence College Of Nursing, At - Karma, Irba, Distt.- Ranchi, Jharkhand, Pin Code- 835238",Haji Abdur Razzaque Educational Society,Ranchi,Jharkhand,Private,P B B.Sc(N) | B.Sc(N) | ANM | GNM | M. Sc (N),40 (Forty) | 60 (Sixty) | 50 (Fifty) | 60 (Sixty) | 20 (Twenty) Med Surg-04 Obg-04 Chn-04 Psy-04 Paed.-04,230,835238,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Saraikela|GANDHI COLLEGE OF ALLIED SCIENCE,Gandhi College Of Allied Science,"Gandhi College Of Allied Science, Chota Sijulata B Kutung, Rajnagar, Distt.- Saraikela, Jharkhand, Pin Code- 831002",Gandhi Technical Education And Social Welfare Trust,Saraikela,Jharkhand,Private,GNM,60 (Sixty),60,831002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Saraikela|GANDHI COLLEGE OF NURSING,Gandhi College Of Nursing,"Gandhi College Of Nursing, At- Asangi , P.O.Nit , Kharsawan, Adityapur, Distt.- Saraikela, Jharkhand, Pin Code- 832109",Techno Education And Social Welfare Trust,Saraikela,Jharkhand,Private,B.Sc(N) | GNM,60 (Sixty) | 60 (Sixty),120,832109,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Saraikela|GANDHI INSTITUTE OF NURSING,Gandhi Institute Of Nursing,"Gandhi Institute Of Nursing, At-Asangi, P.O-N I T, Adiyapur, Distt.- Saraikela, Jharkhand, Pin Code- 832109",Techno Educational And Social Welfare Trust,Saraikela,Jharkhand,Private,ANM,30 (Thirty),30,832109,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
Jharkhand|Ramgarh|GIRIJA INSTITUTE OF NURSING,Girija Institute Of Nursing,"Girija Institute Of Nursing, Dohakatu, Chuttupalu, Ramgarh , Jharkhand - 835219, Ramgarh, Distt.- Ramgarh, Jharkhand, Pin Code- 835219",Girija Memorial Welfare Trust,Ramgarh,Jharkhand,Private,ANM | GNM | B.Sc(N),40 (Forty) | 60 (Sixty) | 40 (Forty),140,835219,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
