sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
1,Shri Vinoba Bhave College Of Nursing,"Shri Vinoba Bhave College Of Nursing, Ssr College Campus, Sayli Road,, , Distt.- Dadra & Nagar Haveli, Dadra & Nagar Haveli, Pin Code- 396230",Directorate Of Medical And Health Services,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Government,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:07.536198
1,Shri Vinoba Bhave College Of Nursing,"Shri Vinoba Bhave College Of Nursing, Ssr College Campus, Sayli Road,, , Distt.- Dadra & Nagar Haveli, Dadra & Nagar Haveli, Pin Code- 396230",Directorate Of Medical And Health Services,Dadra & Nagar Haveli,Dadra & Nagar Haveli,Government,M. Sc (N),20 (Twenty) Med-Surg-4 Chn-4 Psy-4 Obg-4 Paed-4,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:07.536198
