inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Haryana|Gurgaon|DEPARTMENT OF NURSING,Department Of Nursing,"Department Of Nursing, Gd Goenka University,G D Goenka Education Citysohna Gurgaon Roadsohna, Haryana, Gurgaon, Distt.- Gurgaon, Haryana, Pin Code- 122103",Gd Goenka University,Gurgaon,Haryana,Private,B.Sc(N),60 (Sixty),60,122103,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
Haryana|Yamunanagar|DR. J P SHARMA MEMORIAL COLLEGE OF NURSING,Dr. J P Sharma Memorial College Of Nursing,"Dr. J P Sharma Memorial College Of Nursing, C/O Rajan Hospital ,Near I.T.I., Railway Workshop Road, Yamunanagar, Distt.- Yamunanagar, Haryana, Pin Code- 135001",Tanriya Educational Charitable Trust,Yamunanagar,Haryana,Private,B.Sc(N) | GNM | P B B.Sc(N),40 (Forty) | 40 (Forty) | 30 (Thirty),110,135001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:18.412648
Haryana|Yamunanagar|EVEREST SCHOOL OF NURSING,Everest School Of Nursing,"Everest School Of Nursing, , Vill.- Kanhari Khurd, Tehsil- Jagadhari, Distt.- Yamunanagar, Haryana, Pin Code- 133103",Everest Charitable Society,Yamunanagar,Haryana,Private,GNM,30 (Thirty),30,133103,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:26.341103
Haryana|Gurgaon|FACULTY OF NURSING SGT UNIVERSITY SHREE GURU GOBIND SINGH TRICENTENARY UNIVERSITY,Faculty Of Nursing Sgt University Shree Guru Gobind Singh Tricentenary University,"Faculty Of Nursing Sgt University Shree Guru Gobind Singh Tricentenary University, Village- Budhera, Gurugram-Badli Road, Gurugram, Vill.- Budhera, Tehsil- Gurgaon, Distt.- Gurgaon, Haryana, Pin C",Dasmesh Educational Charitable Trust,Gurgaon,Haryana,Private,B.Sc(N) | M. Sc (N) | P B B.Sc(N) | NURSE PRACTITIONER IN CRITICAL CARE(NPCC),200 (Two Hundred) | 30 (Thirty) Med. Surg-10 Chn-5 Paed-5 Psy-5 Obg-5 | 50 (Fifty) | 20 (Twenty),300,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:26.341103
Haryana|Faridabad|FLORENCE SCHOOL OF NURSING,Florence School Of Nursing,"Florence School Of Nursing, Dayalpur, Garkhera Road, , Ballabhgarh, Distt.- Faridabad, Haryana, Pin Code- 121004",Haryana Gramin Vikas Samaj Seva Samiti,Faridabad,Haryana,Private,ANM | GNM | B.Sc(N) | P B B.Sc(N),30 (Thirty) | 40 (Forty) | 40 (Forty) | 30 (Thirty),140,121004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:26.341103
Haryana|Hissar|G N M TRAINING SCHOOL,G N M Training School,"G N M Training School, Near Bus Stand, Sirsa Road, Hissar, Distt.- Hissar, Haryana, Pin Code- 125001",Government Of Haryana,Hissar,Haryana,Government,GNM,20 (Twenty),20,125001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:26.341103
Haryana|Ambala|GANDHI MEMORIAL NATIONAL (G.M.N) COLLEGE OF NURSING,Gandhi Memorial National (G.M.N) College Of Nursing,"Gandhi Memorial National (G.M.N) College Of Nursing, G.M.N College Of Nursing, Lawrance Road, Ambala Cantt -133001, Haryana , Ambala Cantt, Distt.- Ambala, Haryana, Pin Code- 133001","G.M.N College Trust And Management Society, Ambala Cantt.",Ambala,Haryana,Private,GNM | B.Sc(N),40 (Forty) | 40 (Forty),80,133001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:26.341103
Haryana|Karnal|GANDHI SCHOOL OF NURSING,Gandhi School Of Nursing,"Gandhi School Of Nursing, G.T. Road Bye Pass, Near Iti Chowk, Karnal, Distt.- Karnal, Haryana, Pin Code- 132001",Shri Sain Educational And Vocational Trust,Karnal,Haryana,Private,ANM | GNM | P B B.Sc(N),30 (Thirty) | 40 (Forty) | 30 (Thirty),100,132001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:26.341103
Haryana|Rohtak|GENERAL HOSPITAL,General Hospital,"General Hospital, School Of Nursing, , Distt.- Rohtak, Haryana, Pin Code- 124001",Government Of Haryana,Rohtak,Haryana,Government,ANM,25 (Twenty Five),25,124001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:26.341103
Haryana|Bhiwani|GNM GOVT TRAINING SCHOOL,Gnm Govt Training School,"Gnm Govt Training School, Nagrik Hospital , Bhiwani, Distt.- Bhiwani, Haryana, Pin Code- 127021",Government Of Haryana,Bhiwani,Haryana,Government,GNM | ANM,20 (Twenty) | 30 (Thirty),50,127021,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:26.341103
Haryana|Jind|GOVERNMENT NURSING INSTITUTE,Government Nursing Institute,"Government Nursing Institute, Vpo Safidon, Safidon, Distt.- Jind, Haryana, Pin Code- 126112",Haryana Government,Jind,Haryana,Government,B.Sc(N) | GNM | ANM,60 (Sixty) | 60 (Sixty) | 60 (Sixty),180,126112,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:26.341103
Haryana|Sirsa|HARYANA COLLEGE OF NURSING,Haryana College Of Nursing,"Haryana College Of Nursing, Dr.Ambedkar Square, By-Pass Road, Ellenabad, Distt.- Sirsa, Haryana, Pin Code- 125102",M B Education Society,Sirsa,Haryana,Private,B.Sc(N) | GNM | ANM | P B B.Sc(N),40 (Forty) | 60 (Sixty) | 40 (Forty) | 30 (Thirty),170,125102,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:26.341103
Haryana|Fatehabad|HERITAGE SCHOOL OF NURSING,Heritage School Of Nursing,"Heritage School Of Nursing, Bhuna Road, , Tohana, Distt.- Fatehabad, Haryana, Pin Code- 125120",International Heritage Research Educaiton Society,Fatehabad,Haryana,Private,ANM | GNM,30 (Thirty) | 40 (Forty),70,125120,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:26.341103
Haryana|Ambala|HIMALAYAN INSTITUTE OF NURSING,Himalayan Institute Of Nursing,"Himalayan Institute Of Nursing, V&Po Kala Amb Sadhaura Road,, Ambala, Distt.- Ambala, Haryana, Pin Code- 173030",Maa Saraswati Educational Trust,Ambala,Haryana,Private,B.Sc(N),60 (Sixty),60,173030,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:15:34.387788
