sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
10,Gautam College Of Nursing,"Gautam College Of Nursing, Ward No-10, Near Bus Stand , Hamirpur, Distt.- Hamirpur, Himachal Pradesh, Pin Code- 177001",Gautam Girls College Management Committee,Hamirpur,Himachal Pradesh,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
10,Gautam College Of Nursing,"Gautam College Of Nursing, Ward No-10, Near Bus Stand , Hamirpur, Distt.- Hamirpur, Himachal Pradesh, Pin Code- 177001",Gautam Girls College Management Committee,Hamirpur,Himachal Pradesh,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
10,Gautam College Of Nursing,"Gautam College Of Nursing, Ward No-10, Near Bus Stand , Hamirpur, Distt.- Hamirpur, Himachal Pradesh, Pin Code- 177001",Gautam Girls College Management Committee,Hamirpur,Himachal Pradesh,Private,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
11,General Nursing Training School,"General Nursing Training School, Mahatma Gandhi Medical Services Complex, Khaneri, Rampur, Distt.- Shimla, Himachal Pradesh, Pin Code- 172001",Hp Govt,Shimla,Himachal Pradesh,Government,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
12,Gnm School Of Nursing,"Gnm School Of Nursing, Dr Ysp Med.College And Hospital, Zonal District Hospital , Nahan, Distt.- Sirmaur, Himachal Pradesh, Pin Code- 173001",Government Of Himachal Pradesh,Sirmaur,Himachal Pradesh,Government,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
13,Gnm Training School Bilaspur,"Gnm Training School Bilaspur , District Hospital, Bilaspur, Bilaspur, Distt.- Bilaspur, Himachal Pradesh, Pin Code- 174001",Himachal Pradesh,Bilaspur,Himachal Pradesh,Government,GNM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
14,Gnm Training School,"Gnm Training School, Regional Hospital, Chamba, Distt.- Chamba, Himachal Pradesh, Pin Code- 176310",Director Medical Education And Research,Chamba,Himachal Pradesh,Government,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
15,Government Gnm Training School,"Government Gnm Training School, Zonal Hospital, Mandi, Mandi, Distt.- Mandi, Himachal Pradesh, Pin Code- 175001",Government Of Himachal Pradesh,Mandi,Himachal Pradesh,Government,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
16,Govt.Nursing College Slbsgmc& H,"Govt.Nursing College Slbsgmc& H, Govt.Nursing College Slbsgmc& H Mandi At Nerchowk, Mandi, Distt.- Mandi, Himachal Pradesh, Pin Code- 175027",Govt. Of H.P.,Mandi,Himachal Pradesh,Government,NPM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
16,Govt.Nursing College Slbsgmc& H,"Govt.Nursing College Slbsgmc& H, Govt.Nursing College Slbsgmc& H Mandi At Nerchowk, Mandi, Distt.- Mandi, Himachal Pradesh, Pin Code- 175027",Govt. Of H.P.,Mandi,Himachal Pradesh,Government,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
16,Govt.Nursing College Slbsgmc& H,"Govt.Nursing College Slbsgmc& H, Govt.Nursing College Slbsgmc& H Mandi At Nerchowk, Mandi, Distt.- Mandi, Himachal Pradesh, Pin Code- 175027",Govt. Of H.P.,Mandi,Himachal Pradesh,Government,P B B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
