sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
13,Bee Enn College Of Nursing,"Bee Enn College Of Nursing, Chak Bhalwal, Jammu, Distt.- Jammu, Jammu & Kashmir, Pin Code- 181122",Bee Enn Charitable Trust,Jammu,Jammu & kashmir,Private,M. Sc (N),25 (Twenty Five) Med Surg-5 Obg-5 Paed-5 Chn-5 Psy-5,2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
13,Bee Enn College Of Nursing,"Bee Enn College Of Nursing, Chak Bhalwal, Jammu, Distt.- Jammu, Jammu & Kashmir, Pin Code- 181122",Bee Enn Charitable Trust,Jammu,Jammu & kashmir,Private,P B B.Sc(N),50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
14,Bibi Halima College Of Nursing & Med. Technology,"Bibi Halima College Of Nursing & Med. Technology, Shireen Bagh Kaka Sarai, Zero Bridge, Srinagar, Distt.- Srinagar, Jammu & Kashmir, Pin Code- 190010",J And K Board For Specified Wakfs,Srinagar,Jammu & kashmir,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
15,Data Ranpat Dev College Of B.Sc Nursing And Post Basic B.Sc Nursing,"Data Ranpat Dev College Of B.Sc Nursing And Post Basic B.Sc Nursing, Dhaloti, Rajbagh, Kathua, J&Amp;K, Kathua, Distt.- Kathua, Jammu &Amp; Kashmir, Pin Code- 184144",Rani Laxmi Bhai Educational And Welfare Trust,Kathua,Jammu & kashmir,Private,P B B.Sc(N),20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
15,Data Ranpat Dev College Of B.Sc Nursing And Post Basic B.Sc Nursing,"Data Ranpat Dev College Of B.Sc Nursing And Post Basic B.Sc Nursing, Dhaloti, Rajbagh, Kathua, J&Amp;K, Kathua, Distt.- Kathua, Jammu &Amp; Kashmir, Pin Code- 184144",Rani Laxmi Bhai Educational And Welfare Trust,Kathua,Jammu & kashmir,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
16,Dolphin Institute Of Medical Sciences And Technology,"Dolphin Institute Of Medical Sciences And Technology, Alamdar Colony Trichal , Pulwama, Distt.- Pulwama, Jammu Kashmir, Pin Code- 192301",Dolphin Education Foundation Trust,Pulwama,Jammu & kashmir,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
17,Florence Nightingale School Of Nursing,"Florence Nightingale School Of Nursing, C/O Of Gupta Hospital Research Center, Nh-Kalibari , Kathua, Distt.- Kathua, Jammu Kashmir, Pin Code- 184101",Chuni Lal Health And Education Society,Kathua,Jammu & kashmir,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
18,Galaxy Para Medical College,"Galaxy Para Medical College, Galaxy Enclave Sector - F, (Extin) Sanik Colony, Jammu, Distt.- Jammu, Jammu Kashmir, Pin Code- 180011",Jagdish Education Trust,Jammu,Jammu & kashmir,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
19,Government College For Nursing Paramedical Sciences,"Government College For Nursing Paramedical Sciences, Shireen Bagh, , Distt.- Srinagar, Jammu Kashmir, Pin Code- 190010",,Srinagar,Jammu & kashmir,Government,B.Sc(N),90 (Ninety),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
20,Govt Nursing College Anantang,"Govt Nursing College Anantang, Gmc Anantnag, Janglat Mandi Anantnag, Anantnag, Distt.- Anantnag, Jammu &Amp; Kashmir, Pin Code- 192101",Government Of Jammu And Kashmir,Anantnag,Jammu & kashmir,Government,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
21,Haneefa College Of Nursing,"Haneefa College Of Nursing, Mazbugh Road Near Fruit Mandi, Sopore, Distt.- Baramulla, Jammu &Amp; Kashmir, Pin Code- 193201",Qudssiya Health Care And Education Trust,Baramulla,Jammu & kashmir,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
22,I G E S Institute Of Nursing And Health Sciences,"I G E S Institute Of Nursing And Health Sciences, Marble Market, Near Greater Kailash Chowk, Jammu, Distt.- Jammu, Jammu & Kashmir, Pin Code- 180011",Indira Gandhi Educational Society,Jammu,Jammu & kashmir,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
23,Ibn Sina College Of Nursing &Amp; Health Sciences,"Ibn Sina College Of Nursing &Amp; Health Sciences, Ompora , Near Railway Station Budgam, Budgam, Distt.- Badgam, Jammu &Amp; Kashmir, Pin Code- 191111",Bhat Foundation Welfare Socity,Badgam,Jammu & kashmir,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
24,Institute Of Nursing And Paramedical Sciences,"Institute Of Nursing And Paramedical Sciences, University Of Kashmir South Campus Highground Fatehgarh Anantnag, Anantnag, Distt.- Anantnag, Jammu &Amp; Kashmir, Pin Code- 192101",Govt Of Jammu And Kashmir,Anantnag,Jammu & kashmir,Government,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:04.949632
1,Iphh-College Of Nursing And Allied Health Sciences,"Iphh-College Of Nursing And Allied Health Sciences, Institutional Campus, Kangar Morh, Kot Bhalwal, J&K, Jammu, Distt.- Jammu, Jammu & Kashmir, Pin Code- 181205",Fairfield Foundation And Education Welfare Trust - Jk,Jammu,Jammu & kashmir,Private,GNM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
2,J K Institute Of Nursing &Amp; Para Medical Sciences,"J K Institute Of Nursing &Amp; Para Medical Sciences, Bari Brahaman , Vill.- Palli, Tehsil- Samba, Distt.- Samba, Jammu &Amp; Kashmir, Pin Code- 181133",J K Institute Of Technology And Medical Sciences,Samba,Jammu & kashmir,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
3,Madre Meherban Institute Of Nursing Sciences &Amp; Research,"Madre Meherban Institute Of Nursing Sciences &Amp; Research, Sher-I Kashmir Institute Of Medical Sciences, Soura, Srinagar, Distt.- Srinagar, Jammu &Amp; Kashmir, Pin Code- 190011",Deems University Skims Soura,Srinagar,Jammu & kashmir,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
3,Madre Meherban Institute Of Nursing Sciences &Amp; Research,"Madre Meherban Institute Of Nursing Sciences &Amp; Research, Sher-I Kashmir Institute Of Medical Sciences, Soura, Srinagar, Distt.- Srinagar, Jammu &Amp; Kashmir, Pin Code- 190011",Deems University Skims Soura,Srinagar,Jammu & kashmir,Private,M. Sc (N),25 ; 5 In Each Speciality,2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
4,Maraz Paramedical Training Institute,"Maraz Paramedical Training Institute, Nh-1A Pazalpora,Near Tata Showroom,Bijbehara Anantnag, Anantnag, Distt.- Anantnag, Jammu &Amp; Kashmir, Pin Code- 192124",Maraz Educational Trust,Anantnag,Jammu & kashmir,Private,GNM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
5,Rajiv Gandhi College Of Nursing,"Rajiv Gandhi College Of Nursing, Chak Bhalwal, Post -Seri Pandita Opp. I R P Lines , Jammu, Distt.- Jammu, Jammu & Kashmir, Pin Code- 181122",Rajiv Gandhi Educational Society,Jammu,Jammu & kashmir,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
5,Rajiv Gandhi College Of Nursing,"Rajiv Gandhi College Of Nursing, Chak Bhalwal, Post -Seri Pandita Opp. I R P Lines , Jammu, Distt.- Jammu, Jammu & Kashmir, Pin Code- 181122",Rajiv Gandhi Educational Society,Jammu,Jammu & kashmir,Private,M. Sc (N),20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
5,Rajiv Gandhi College Of Nursing,"Rajiv Gandhi College Of Nursing, Chak Bhalwal, Post -Seri Pandita Opp. I R P Lines , Jammu, Distt.- Jammu, Jammu & Kashmir, Pin Code- 181122",Rajiv Gandhi Educational Society,Jammu,Jammu & kashmir,Private,P B B.Sc(N),30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
6,Ramzaan College Of Nursing,"Ramzaan College Of Nursing, Gallander Pampore Pulwama 192121, Vill.- Gallander, Tehsil- Pampore, Distt.- Pulwama, Jammu Kashmir, Pin Code- 192121",Ramzaan Educational Trust,Pulwama,Jammu & kashmir,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
7,Siddhi Vinayak School Of Nursing,"Siddhi Vinayak School Of Nursing, Near Maggar Khad Chack Gotta P/O Lakhanpur, Kathua, Distt.- Kathua, Jammu Kashmir, Pin Code- 184152",Siddhi Vinayak Educational Society,Kathua,Jammu & kashmir,Private,GNM,30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
8,Stephen College Of Nursing,"Stephen College Of Nursing , Nihalpur, Miran Sahib, R.S. Pura, Distt.- Jammu, Jammu &Amp; Kashmir, Pin Code- 181102",Dr Aparna Educational Trust,Jammu,Jammu & kashmir,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
8,Stephen College Of Nursing,"Stephen College Of Nursing , Nihalpur, Miran Sahib, R.S. Pura, Distt.- Jammu, Jammu &Amp; Kashmir, Pin Code- 181102",Dr Aparna Educational Trust,Jammu,Jammu & kashmir,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
8,Stephen College Of Nursing,"Stephen College Of Nursing , Nihalpur, Miran Sahib, R.S. Pura, Distt.- Jammu, Jammu &Amp; Kashmir, Pin Code- 181102",Dr Aparna Educational Trust,Jammu,Jammu & kashmir,Private,M. Sc (N),25 (Twenty Five),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
8,Stephen College Of Nursing,"Stephen College Of Nursing , Nihalpur, Miran Sahib, R.S. Pura, Distt.- Jammu, Jammu &Amp; Kashmir, Pin Code- 181102",Dr Aparna Educational Trust,Jammu,Jammu & kashmir,Private,P B B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:12.024349
