inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Manipur|Imphal East|JAWAHARLAL NEHRU SCHOOL OF NURSING,Jawaharlal Nehru School Of Nursing,"Jawaharlal Nehru School Of Nursing, Soibam Leikai, Imphal , Distt.- Imphal East, Manipur, Pin Code- 795005",Human Care Organisation,Imphal East,Manipur,Private,GNM,40 (Forty),40,795005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal East|KANGLEIPAK MEDICAL AND NURSING INSTITUTE,Kangleipak Medical And Nursing Institute,"Kangleipak Medical And Nursing Institute, Khurai Konsam Leikai,Paonam Leirak , Imphal , Distt.- Imphal East, Manipur, Pin Code- 795010",Kangleipak Medical And Nursing Institute,Imphal East,Manipur,Private,B.Sc(N) | M. Sc (N) | P B B.Sc(N),40 (Forty) | 08 (Eight) Med Surg-02 Paed-02 Psy-02 Obg-02 | 30 (Thirty),78,795010,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal East|L CHAOBI NURSING INSTITUTE,L Chaobi Nursing Institute,"L Chaobi Nursing Institute, J.N Hospital Road, Porompat (Pong Lambi) , Imphal, Distt.- Imphal East, Manipur, Pin Code- 795005",Development Of Community Society,Imphal East,Manipur,Private,GNM,20 (Twenty),20,795005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal West|LEIRIK INSTITUTE OF NURSING,Leirik Institute Of Nursing,"Leirik Institute Of Nursing, Sangaiprou, Imphal, Distt.- Imphal West, Manipur, Pin Code- 795001",Leirik Memorial Charitable Society,Imphal West,Manipur,Private,GNM,40 (Forty),40,795001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Thoubal|MANIPUR NURSING INSTITUTE,Manipur Nursing Institute,"Manipur Nursing Institute,, Tentha Thongkhong Bazar, Wangjing, Distt.- Thoubal, Manipur, Pin Code- 795148",Wangjing Tentha Farmers Developement Association,Thoubal,Manipur,Private,GNM,30 (Thirty),30,795148,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:13.553857
Manipur|Imphal East|NIGHTINGALE NURSING INSTITUTE,Nightingale Nursing Institute,"Nightingale Nursing Institute, J.N.I.M's Road, Porompat, Imphal East, Vill.- Porompat, Tehsil- Porompat, Distt.- Imphal East, Manipur, Pin Code- 795010",Society For Rural Development,Imphal East,Manipur,Private,GNM,30 (Thirty),30,795010,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
Manipur|Imphal West|R D O COLLEGE OF NURSING,R D O College Of Nursing,"R D O College Of Nursing, Lamdeng , Imphal, Distt.- Imphal West, Manipur, Pin Code- 795146",Rural Development Organization,Imphal West,Manipur,Private,GNM | B.Sc(N) | P B B.Sc(N),50 (Fifty) | 40 (Forty) | 20 (Twenty),110,795146,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
Manipur|Thoubal|ROYAL SCHOOL OF NURSING,Royal School Of Nursing,"Royal School Of Nursing, Irdeo Complex, Wangbal, Thoubal , Thoubal , Distt.- Thoubal, Manipur, Pin Code- 795010",Society For Rural Upliftment,Thoubal,Manipur,Private,GNM,30 (Thirty),30,795010,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
Manipur|Imphal East|SAINA INSTITUTE OF MEDICAL SCIENCES SCHOOL OF NURSING,Saina Institute Of Medical Sciences School Of Nursing,"Saina Institute Of Medical Sciences School Of Nursing, Top Makha Leikai, Yaralpat (Opposite Navodaya School) Imphal East District, Manipur, Imphal East, Distt.- Imphal East, Manipur, Pin Code- 795",Kangleipak Rural Area Development Organization,Imphal East,Manipur,Private,GNM,40 (Forty),40,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
Manipur|Imphal East|SARASWATI COLLEGE OF NURSING,Saraswati College Of Nursing,"Saraswati College Of Nursing, Pangei, Nepali Basti, Imphal East,, Imphal, Distt.- Imphal East, Manipur, Pin Code- 795114",Saraswati Charitable Trust,Imphal East,Manipur,Private,B.Sc(N),30 (Thirty),30,795114,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
Manipur|Senapati|SCHOOL OF NURSING KANGPOKPI CHRISTIAN HOSPITAL,School Of Nursing Kangpokpi Christian Hospital,"School Of Nursing Kangpokpi Christian Hospital, Kangpokpi Mission Compound , Kangpokpi , Distt.- Senapati, Manipur, Pin Code- 795129",Manipur Baptist Convention,Senapati,Manipur,Private,ANM,30 (Thirty),30,795129,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
Manipur|Imphal West|SHIJA ACADEMY OF NURSING,Shija Academy Of Nursing,"Shija Academy Of Nursing, Shija Hospitals & Research Institute,Langol, Imphal, Distt.- Imphal West, Manipur, Pin Code- 795004",Shija Foundation,Imphal West,Manipur,Private,B.Sc(N),40 (Forty),40,795004,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
Manipur|Imphal West|TEMPLE OF LEARNING MAYENGBAM APABI NURSING COLLEGE,Temple Of Learning Mayengbam Apabi Nursing College,"Temple Of Learning Mayengbam Apabi Nursing College, Kha Naorem Leikai, Canchipur, Imphal West, Distt.- Imphal West, Manipur, Pin Code- 795003",Temple Educational Society,Imphal West,Manipur,Private,B.Sc(N),30 (Thirty),30,795003,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
Manipur|Imphal East|THE SCHOOL OF NURSING,The School Of Nursing,"The School Of Nursing, Porompat Under The Modern Clinic & Village Ind. Society, Khabeisoi(Mcvis) Tv Tower Ddk Road , Porompat, Distt.- Imphal East, Manipur, Pin Code- 795005",Modern Clinic And Village Industries Society,Imphal East,Manipur,Private,GNM,20 (Twenty),20,795005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
Manipur|Churachandpur|TUNNU SCHOOL OF NURSING,Tunnu School Of Nursing,"Tunnu School Of Nursing, , Churachandpur, Distt.- Churachandpur, Manipur, Pin Code- 795128",Tunnu Foundation Trust,Churachandpur,Manipur,Private,GNM,30 (Thirty),30,795128,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
Manipur|Thoubal|UNIVERSAL COLLEGE OF NURSING,Universal College Of Nursing,"Universal College Of Nursing, Yairipok, Yairipok, Distt.- Thoubal, Manipur, Pin Code- 795149",Yairipok Universal College,Thoubal,Manipur,Private,B.Sc(N),40 (Forty),40,795149,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
Manipur|Thoubal|YENGKHOM NETRAMANI COLLEGE OF NURSING,Yengkhom Netramani College Of Nursing,"Yengkhom Netramani College Of Nursing, Lamdong, Near Ar Campus,Kakching, Kakching, Distt.- Thoubal, Manipur, Pin Code- 795103",Jivan Hospital,Thoubal,Manipur,Private,B.Sc(N),40 (Forty),40,795103,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:29:21.924150
