inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Himachal Pradesh|Bilaspur|GNM TRAINING SCHOOL BILASPUR,Gnm Training School Bilaspur,"Gnm Training School Bilaspur , District Hospital, Bilaspur, Bilaspur, Distt.- Bilaspur, Himachal Pradesh, Pin Code- 174001",Himachal Pradesh,Bilaspur,Himachal Pradesh,Government,GNM,20 (Twenty),20,174001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Chamba|GNM TRAINING SCHOOL,Gnm Training School,"Gnm Training School, Regional Hospital, Chamba, Distt.- Chamba, Himachal Pradesh, Pin Code- 176310",Director Medical Education And Research,Chamba,Himachal Pradesh,Government,GNM,30 (Thirty),30,176310,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Mandi|GOVERNMENT GNM TRAINING SCHOOL,Government Gnm Training School,"Government Gnm Training School, Zonal Hospital, Mandi, Mandi, Distt.- Mandi, Himachal Pradesh, Pin Code- 175001",Government Of Himachal Pradesh,Mandi,Himachal Pradesh,Government,GNM,30 (Thirty),30,175001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Mandi|GOVT.NURSING COLLEGE SLBSGMC& H,Govt.Nursing College Slbsgmc& H,"Govt.Nursing College Slbsgmc& H, Govt.Nursing College Slbsgmc& H Mandi At Nerchowk, Mandi, Distt.- Mandi, Himachal Pradesh, Pin Code- 175027",Govt. Of H.P.,Mandi,Himachal Pradesh,Government,NPM | B.Sc(N) | P B B.Sc(N) | M. Sc (N),30 (Thirty) | 60 (Sixty) | 30 (Thirty) | 30 (Thirty),150,175027,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:21.903990
Himachal Pradesh|Kangra|GRACE SCHOOL OF NURSING,Grace School Of Nursing,"Grace School Of Nursing,, Mission Hospital Complex, Vill.- Kangra, Tehsil- Kangra, Distt.- Kangra, Himachal Pradesh, Pin Code- 176001",Health Human Power Development Welfare Society,Kangra,Himachal Pradesh,Private,GNM,40 (Forty),40,176001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:29.962203
Himachal Pradesh|Kangra|GURU DRONACHARYA SCHOOL OF NURSING,Guru Dronacharya School Of Nursing,"Guru Dronacharya School Of Nursing, Yol Cantt, Dharmsala, Distt.- Kangra, Himachal Pradesh, Pin Code- 176052",Guru Dronacharya Society,Kangra,Himachal Pradesh,Private,GNM | B.Sc(N) | M. Sc (N) | P B B.Sc(N),40 (Forty) | 40 (Forty) | 20 (Twenty) Med Surg-04 Psy-06 Chn-05 Paed-05 | 30 (Thirty),130,176052,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:29.962203
Himachal Pradesh|Chamba|HIM NAVODAYA SIKSHAN SANSTHAN,Him Navodaya Sikshan Sansthan,"Him Navodaya Sikshan Sansthan, Moh -Obri, P.O. Sultan Pur, Chamba, Distt.- Chamba, Himachal Pradesh, Pin Code- 176314",Him Navodaya Sikshan Sansthan,Chamba,Himachal Pradesh,Private,GNM,40 (Forty),40,176314,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:29.962203
Himachal Pradesh|Sirmaur|HIMACHAL INSTITUTE OF NURSING,Himachal Institute Of Nursing,"Himachal Institute Of Nursing, Rampur Ghat, Paonta Sahib, Paonta Sahib, Distt.- Sirmaur, Himachal Pradesh, Pin Code- 173035",Dr Puran Chand Medical Charitable Trust,Sirmaur,Himachal Pradesh,Private,GNM,40 (Forty),40,173035,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:29.962203
Himachal Pradesh|Mandi|HIMALAYAN GROUP OF PROFESSIONAL INSTITUTION,Himalayan Group Of Professional Institution,"Himalayan Group Of Professional Institution , Near Kissan Bhawan, Cinema Road, Jogindarnagar, Distt.- Mandi, Himachal Pradesh, Pin Code- 175015",Himalayan Group Of Professional Institution,Mandi,Himachal Pradesh,Private,GNM | B.Sc(N),40 (Forty) | 20 (Twenty),60,175015,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:29.962203
Himachal Pradesh|Sirmaur|HIMALAYAN SCHOOL OF NURSING,Himalayan School Of Nursing,"Himalayan School Of Nursing, Sadhaura Road, Kala Amb, Distt.- Sirmaur, Himachal Pradesh, Pin Code- 173030",Maa Saraswati Educational Trust,Sirmaur,Himachal Pradesh,Private,GNM,30 (Thirty),30,173030,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:16:29.962203
