inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Assam|Kamrup Metro|C P M S COLLEGE OF NURSING,C P M S College Of Nursing,"C P M S College Of Nursing, Bonda, Amgaon, Narengi , Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 781026",Purbanchal Educational Welfare Society,Kamrup Metro,Assam,Private,B.Sc(N) | ANM | GNM,60 (Sixty) | 40 (Forty) | 60 (Sixty),160,781026,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:35.299627
Assam|Cachar|CACHAR CANCER HOSPITAL AND RESEARCH CENTRE,Cachar Cancer Hospital And Research Centre,"Cachar Cancer Hospital And Research Centre, (Dr. S. Krishnamurthi Centre For Research And Education In Cancer), Vill.- Meherpur, Tehsil- Silchar, Distt.- Cachar, Assam, Pin Code- 788015",The Cachar Cancer Hospital Society,Cachar,Assam,Private,Post Basic Diploma in Oncology Nursing,10 (Ten),10,788015,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:43.446210
Assam|Kamrup Metro|COLLEGE OF NURSING AIIMS GUWAHATI,College Of Nursing Aiims Guwahati,"College Of Nursing Aiims Guwahati, Silbharal, Changsari, Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 781101",Aiims Guwahati,Kamrup Metro,Assam,Government,B.Sc(N),60 (Sixty),60,781101,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:43.446210
Assam|Kamrup Metro|DISPUR HOSPITALS SCHOOL OF NURSING,Dispur Hospitals School Of Nursing,"Dispur Hospitals School Of Nursing, Ganeshguri Chariali, Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 781006",Dispur Hospitals School Of Nursing,Kamrup Metro,Assam,Private,GNM,30 (Thirty),30,781006,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:43.446210
Assam|Kamrup Metro|DISPUR NURSING INSTITUTE,Dispur Nursing Institute,"Dispur Nursing Institute, H No - 51, Near Basistha Mandir, Basistha, Guwahati , Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 781029",Help Aid,Kamrup Metro,Assam,Private,GNM | B.Sc(N) | P B B.Sc(N) | ANM,50 (Fifty) | 40 (Forty) | 20 (Twenty) | 40 (Forty),150,781029,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:43.446210
Assam|Kamrup Metro|DISPUR PARAMEDICAL AND NURSING INSTITUTE,Dispur Paramedical And Nursing Institute,"Dispur Paramedical And Nursing Institute, Dd Complex-Ii, Sundarpur , R.G.B Road, Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 781006",Dispur Paramedical And Nursing Institute,Kamrup Metro,Assam,Private,GNM,30 (Thirty),30,781006,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:43.446210
Assam|Kamrup Metro|DOWN TOWN SCHOOL OF NURSING,Down Town School Of Nursing,"Down Town School Of Nursing, G S Road Dispur, Guwahati , Distt.- Kamrup Metro, Assam, Pin Code- 781006",Down Town Hospital Ltd,Kamrup Metro,Assam,Private,GNM,30 (Thirty),30,781006,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:43.446210
Assam|Kamrup Metro|DR.B.BOROOAH CANCER INSTITUTE,Dr.B.Borooah Cancer Institute,"Dr.B.Borooah Cancer Institute, Dr.B.Borooah Cancer Institute, Ak Azad Road, Gopinath Nagar, Guwahati -781016, Assam, Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 781016",Dr.Bhubhaneswar Borooah Cancer Institute,Kamrup Metro,Assam,Government,M. Sc (N),10 (Ten) Medical Surgical(Oncology Nursing- 10 (Ten),10,781016,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:43.446210
Assam|Kamrup Metro|FACULTY OF NURSING,Faculty Of Nursing,"Faculty Of Nursing, Assam Donw Town University, Gandhi Nagar, Panikhaiti, Guwahati, Distt.- Kamrup Metro, Assam, Pin Code- 781026",Down Town Charity Trust,Kamrup Metro,Assam,Private,ANM | GNM | B.Sc(N) | P B B.Sc(N) | M. Sc (N),40 (Forty) | 40 (Forty) | 60 (Sixty) | 40 (Forty) | 20 (Twenty),200,781026,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:43.446210
Assam|Karimganj|FEMALE HEALTH WORKER TRAINING CENTRE,Female Health Worker Training Centre,"Female Health Worker Training Centre, Makunda Christian Leprosy And General Hospital, Bazaricherra , Distt.- Karimganj, Assam, Pin Code- 788727",Emmanuel Hospital Association,Karimganj,Assam,Private,ANM,25 (Twenty Five),25,788727,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:43.446210
