sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
6,Chinmaya Advance Research Education Care,"Chinmaya Advance Research Education Care, Rohalki Kishanpur Road , Haridwar , Distt.- Haridwar, Uttaranchal, Pin Code- 249402",Chinmaya Advance Research Education Care,Haridwar,Uttaranchal,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
6,Chinmaya Advance Research Education Care,"Chinmaya Advance Research Education Care, Rohalki Kishanpur Road , Haridwar , Distt.- Haridwar, Uttaranchal, Pin Code- 249402",Chinmaya Advance Research Education Care,Haridwar,Uttaranchal,Private,M. Sc (N),"24 (Twenty Four) Obg-8, Chn-4, Psy-4, Med-Surg-4, Paed-4",2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
6,Chinmaya Advance Research Education Care,"Chinmaya Advance Research Education Care, Rohalki Kishanpur Road , Haridwar , Distt.- Haridwar, Uttaranchal, Pin Code- 249402",Chinmaya Advance Research Education Care,Haridwar,Uttaranchal,Private,P B B.Sc(N),45 (Forty Five),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
7,Combined ( P G) Institute Of Medical Sciences,"Combined ( P G) Institute Of Medical Sciences, Kuanwala, Harrawala, Haridwar Road, , Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248160",J J Educational Institute,Dehra Dun,Uttaranchal,Private,ANM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
7,Combined ( P G) Institute Of Medical Sciences,"Combined ( P G) Institute Of Medical Sciences, Kuanwala, Harrawala, Haridwar Road, , Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248160",J J Educational Institute,Dehra Dun,Uttaranchal,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
7,Combined ( P G) Institute Of Medical Sciences,"Combined ( P G) Institute Of Medical Sciences, Kuanwala, Harrawala, Haridwar Road, , Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248160",J J Educational Institute,Dehra Dun,Uttaranchal,Private,M. Sc (N),23 (Twenty Three),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
7,Combined ( P G) Institute Of Medical Sciences,"Combined ( P G) Institute Of Medical Sciences, Kuanwala, Harrawala, Haridwar Road, , Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248160",J J Educational Institute,Dehra Dun,Uttaranchal,Private,P B B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
8,D I T College Of Nursing,"D I T College Of Nursing, Brahman Gaon, Makkawala Mussoorie Diversion Roaddehradun, Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248009",Unison Education Foundation,Dehra Dun,Uttaranchal,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
9,Department Of Nursing,"Department Of Nursing, Bhagwant Global University, Jhandi Chaur, Haridwar Road, , Vill.- Uttari, Tehsil- Dugadda, Distt.- Pauri, Uttaranchal, Pin Code- 246149",Bhagwant Education Foundation,Pauri,Uttaranchal,Private,GNM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
10,Devsthali Vidyapeeth College Of Nursing,"Devsthali Vidyapeeth College Of Nursing , Vill-Kachhi Khamaria, Po- Lalpur( Via- Kichha), Dist- Udham Singh Nagar, Uttarakhand, Rudrapur, Distt.- Udham Singh Nagar, Uttaranchal, Pin Code- 263148",Devbhumi Shiksha Prasar Samiti,Udham Singh Nagar,Uttaranchal,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
10,Devsthali Vidyapeeth College Of Nursing,"Devsthali Vidyapeeth College Of Nursing , Vill-Kachhi Khamaria, Po- Lalpur( Via- Kichha), Dist- Udham Singh Nagar, Uttarakhand, Rudrapur, Distt.- Udham Singh Nagar, Uttaranchal, Pin Code- 263148",Devbhumi Shiksha Prasar Samiti,Udham Singh Nagar,Uttaranchal,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
11,Divine College Of Nursing And Paramedical Sciences,"Divine College Of Nursing And Paramedical Sciences, Shyampur,Haridwar, Haridwar, Distt.- Haridwar, Uttaranchal, Pin Code- 249408",Divine International Foundation,Haridwar,Uttaranchal,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:16.166551
1,Divine College Of Nursing And Paramedical Sciences,"Divine College Of Nursing And Paramedical Sciences, Shyampur,Haridwar, Haridwar, Distt.- Haridwar, Uttaranchal, Pin Code- 249408",Divine International Foundation,Haridwar,Uttaranchal,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
2,Doon Institute Of Medical Science Faculty Of Nursing,"Doon Institute Of Medical Science Faculty Of Nursing, Shankarpur ,Hukumatpur,Sahaspur,, Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248197",Smt Poorna Devi Memorial Trust,Dehra Dun,Uttaranchal,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
2,Doon Institute Of Medical Science Faculty Of Nursing,"Doon Institute Of Medical Science Faculty Of Nursing, Shankarpur ,Hukumatpur,Sahaspur,, Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248197",Smt Poorna Devi Memorial Trust,Dehra Dun,Uttaranchal,Private,B.Sc(N),80 (Eighty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
2,Doon Institute Of Medical Science Faculty Of Nursing,"Doon Institute Of Medical Science Faculty Of Nursing, Shankarpur ,Hukumatpur,Sahaspur,, Dehradun, Distt.- Dehra Dun, Uttaranchal, Pin Code- 248197",Smt Poorna Devi Memorial Trust,Dehra Dun,Uttaranchal,Private,M. Sc (N),20 (Twenty) 04 In Each Subject,2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
3,Droan College Of Nursing,"Droan College Of Nursing, Po - Khanpur Purab, Dineshpur Road, Rudrapur, Distt.- Udham Singh Nagar, Uttaranchal, Pin Code- 263153",Droan Educational Society,Udham Singh Nagar,Uttaranchal,Private,ANM,20 (Twenty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
3,Droan College Of Nursing,"Droan College Of Nursing, Po - Khanpur Purab, Dineshpur Road, Rudrapur, Distt.- Udham Singh Nagar, Uttaranchal, Pin Code- 263153",Droan Educational Society,Udham Singh Nagar,Uttaranchal,Private,GNM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
3,Droan College Of Nursing,"Droan College Of Nursing, Po - Khanpur Purab, Dineshpur Road, Rudrapur, Distt.- Udham Singh Nagar, Uttaranchal, Pin Code- 263153",Droan Educational Society,Udham Singh Nagar,Uttaranchal,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:43:22.663677
