inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Madhya Pradesh|Dindori|BHARAT INSTITUTE OF NURSING,Bharat Institute Of Nursing,"Bharat Institute Of Nursing, Ward No.-13, Near Mandla Bus Stand, Old Dindori , Dindori, Distt.- Dindori, Madhya Pradesh, Pin Code- 481880",Rastogi Education,Dindori,Madhya Pradesh,Private,GNM,40 (Forty),40,481880,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Betul|BHARTI SCHOOL OF NURSING,Bharti School Of Nursing,"Bharti School Of Nursing, Near Rml Iti Hawai Patti Bagdona Sarni, Vill.- Bagdona, Tehsil- Ghoda Dongri, Distt.- Betul, Madhya Pradesh, Pin Code- 460449",Public Awarness And Skill Devlopment Socity,Betul,Madhya Pradesh,Private,GNM,40 (Forty),40,460449,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Bhopal|BHOPAL NURSING COLLEGE,Bhopal Nursing College,"Bhopal Nursing College, Bhopal Memorial Hospital And Research Centre, Raisen Bypass Road, Karond , Karoumdh, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462038",Bhopal Memorial Hospital Trust,Bhopal,Madhya Pradesh,Government,B.Sc(N) | M. Sc (N),50 (Fifty) | 5 Obg-3 Med-Surg-2,55,462038,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Indore|BOMBAY HOSPITAL COLLEGE OF NURSING,Bombay Hospital College Of Nursing,"Bombay Hospital College Of Nursing, 6Th Floor, Bombay Hospital, Ring Road, Indore, Distt.- Indore, Madhya Pradesh, Pin Code- 452010",Bombay Hospital Trust,Indore,Madhya Pradesh,Private,B.Sc(N) | M. Sc (N),50 (Fifty) | 10 (Ten),60,452010,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Bhopal|CAREER SCHOOL OF NURSING,Career School Of Nursing,"Career School Of Nursing, Opposite Dushehara, Maidan Govindpura Bhel, Huzur, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462023",Career Society,Bhopal,Madhya Pradesh,Private,B.Sc(N) | M. Sc (N) | GNM,40 (Forty) | 25 (Twenty Five) Med Surg-05 Paed-05 Psy-05 Obg-05 Chn-05 | 30 (Thirty),95,462023,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:02.110999
Madhya Pradesh|Balaghat|CENTRAL INSTITUTE OF NURSING SCIENCE,Central Institute Of Nursing Science,"Central Institute Of Nursing Science, Near Bhatera Chouki Railway Crossing, Bhatera Road, Balaghat, Distt.- Balaghat, Madhya Pradesh, Pin Code- 481001",Health Education And Diagnosti Science Technolgy,Balaghat,Madhya Pradesh,Private,GNM,30 (Thirty),30,481001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Jabalpur|CENTRAL INSTITUTE OF NURSING SCIENCE,Central Institute Of Nursing Science,"Central Institute Of Nursing Science, S-2, Kachnar City, Vijay Nagar, , Jabalpur, Distt.- Jabalpur, Madhya Pradesh, Pin Code- 482002",Asudi Devi Siksha Samiti,Jabalpur,Madhya Pradesh,Private,GNM,40 (Forty),40,482002,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Bhopal|CHIRAYU COLLEGE OF NURSING,Chirayu College Of Nursing,"Chirayu College Of Nursing, Chirayu Medical College And Hospital Campus, Bhopal- Indore Highway, Near Bairagarh, Bhopal , Bhopal , Distt.- Bhopal, Madhya Pradesh, Pin Code- 462030",Chirayu Charitable Foundation,Bhopal,Madhya Pradesh,Private,B.Sc(N) | M. Sc (N) | P B B.Sc(N) | GNM,100 (One Hundred) | 25 (Twenty Five) | 30 (Thirty) | 100 (One Hundred),255,462030,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Chhindwara|CHIRAYU INSTITUTE OF MEDICAL SCIENCE,Chirayu Institute Of Medical Science,"Chirayu Institute Of Medical Science, Main Road, Bichhua, , Distt.- Chhindwara, Madhya Pradesh, Pin Code- 480111",Chirayu Institute Of Medical Science,Chhindwara,Madhya Pradesh,Private,B.Sc(N),30 (Thirty),30,480111,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Indore|CHOITHRAM COLLEGE OF NURSING,Choithram College Of Nursing,"Choithram College Of Nursing , Manik Bagh Road , Indore, Distt.- Indore, Madhya Pradesh, Pin Code- 452014",Choithram Charitable Trust,Indore,Madhya Pradesh,Private,B.Sc(N) | M. Sc (N),"100 (One Hundred) | 33 (Thirty Three) Chn-08, Med-Surg.-05, Obg-08, Paed.-06, Psy-06",133,452014,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Chhatarpur|CHRISTIAN HOSPITAL CHATTARPUR,Christian Hospital Chattarpur,"Christian Hospital Chattarpur, Christian Hospital , Chhatarpur , Distt.- Chhatarpur, Madhya Pradesh, Pin Code- 471001",Bethesda Hospital Society,Chhatarpur,Madhya Pradesh,Private,GNM,20 (Twenty),20,471001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Betul|COLLEGE OF NURSING,College Of Nursing,"College Of Nursing, Padhar Hospital, Post Padhar , Padhar, Distt.- Betul, Madhya Pradesh, Pin Code- 460005",Evangelical Lutheran Church In Mp,Betul,Madhya Pradesh,Private,B.Sc(N) | GNM,30 (Thirty) | 40 (Forty),70,460005,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Mandsaur|DEPARTMENT OF NURSING EDUCATION,Department Of Nursing Education,"Department Of Nursing Education, Brncop Campus Mhow Neemuch Road Near Krishi Upaj Mandi Mandsaur (M.P0, Mandsaur, Distt.- Mandsaur, Madhya Pradesh, Pin Code- 458001",Shri Bhanwar Lal Nahata Smriti Sansthan Mandsaur,Mandsaur,Madhya Pradesh,Private,B.Sc(N),30 (Thirty),30,458001,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Mandsaur|DIAMOND NURSING COLLEGE,Diamond Nursing College,"Diamond Nursing College, Gandhi Nagar Bhensodamandi Tehsil Bhanpur Dist Mandsaur , Bhensodamandi, Distt.- Mandsaur, Madhya Pradesh, Pin Code- 458778",Jagrati Paryavaran Samajik Samati Bhensodamandi,Mandsaur,Madhya Pradesh,Private,B.Sc(N) | GNM,40 (Forty) | 30 (Thirty),70,458778,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Shivpuri|DISTRICT HOSPITAL ANM TRAINING CENTRE,District Hospital Anm Training Centre,"District Hospital Anm Training Centre, District Hospital Compound, , Distt.- Shivpuri, Madhya Pradesh, Pin Code- 0",,Shivpuri,Madhya Pradesh,Government,ANM,60 (Sixty),60,,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
Madhya Pradesh|Bhopal|FACULTY OF NURSING BHABHA UNIVERSITY BHOPAL,Faculty Of Nursing Bhabha University Bhopal,"Faculty Of Nursing Bhabha University Bhopal, Bhabha University Nh-12 Hoshangabad Road Jatkhedi , Bhopal, Distt.- Bhopal, Madhya Pradesh, Pin Code- 462026",Bhabha University Bhopal,Bhopal,Madhya Pradesh,Private,B.Sc(N),30 (Thirty),30,462026,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:26:10.829122
