inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Goa|North Goa|GOVT. NURSING SCHOOL,Govt. Nursing School,"Govt. Nursing School, Opposite Military Hospital, Bambolim , Bambolim Goa, Distt.- North Goa, Goa, Pin Code- 403202",Goa State Government,North Goa,Goa,Government,ANM | B.Sc(N) | M. Sc (N),40 (Forty) | 100 (One Hundred) | 25 (Twenty Five) Med-Surg-5 Paed-5 Obg-5 Psy-5 Chn-5,165,403202,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
Goa|North Goa|HARMAL PANCHAKROSHI SHIKSHAN MANDAL'S COLLEGE OF NURSING,Harmal Panchakroshi Shikshan Mandal's College Of Nursing,"Harmal Panchakroshi Shikshan Mandal's College Of Nursing, Vidhya Sankul Bhoom Plateau Arambol (Harmal), Arambol, Distt.- North Goa, Goa, Pin Code- 403524",Harmal Panchakroshi Shikshan Mandal,North Goa,Goa,Private,GNM | B.Sc(N),40 (Forty) | 30 (Thirty),70,403524,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
Goa|North Goa|INSTITUTE OF PSYCHIATRY & HUMAN BEHAVIOUR,Institute Of Psychiatry & Human Behaviour,"Institute Of Psychiatry & Human Behaviour, Opp. Holy Cross Shrine, Bambolim, Goa, Bambolim, Distt.- North Goa, Goa, Pin Code- 403202",Goa State Government,North Goa,Goa,Government,Post Basic Diploma in Psychiatric nsg.,20 (Twenty),20,403202,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
Goa|North Goa|SAI NURSING INSTITUTE,Sai Nursing Institute,"Sai Nursing Institute, Near Primary Health Centre, Sankhali, Distt.- North Goa, Goa, Pin Code- 403505",Sai Nursing Institute,North Goa,Goa,Private,ANM | GNM,60 (Sixty) | 60 (Sixty),120,403505,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
Goa|North Goa|SHRI BHUMIKA NURSING COLLEGE,Shri Bhumika Nursing College,"Shri Bhumika Nursing College, Parye, Sanquelim, Distt.- North Goa, Goa, Pin Code- 403505",Shri Bhumika Shikshan Saunstha,North Goa,Goa,Private,B.Sc(N) | ANM | GNM,40 (Forty) | 30 (Thirty) | 30 (Thirty),100,403505,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
Goa|North Goa|VRUNDAVAN INSTITUTE OF NURSING EDUCATION,Vrundavan Institute Of Nursing Education,"Vrundavan Institute Of Nursing Education, Near Binani Glass Fibre Pvt. Ltd. Mushir Wado, Colvale, Distt.- North Goa, Goa, Pin Code- 403513",Bhagirathi Surya Naik Memorial Trust,North Goa,Goa,Private,B.Sc(N),50 (Fifty),50,403513,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:12:44.979814
