sl_no,institution_name_raw,institution_address_raw,trust_name,district_name,state,sector,programme,annual_intake,academic_year,page_number,source_url,extraction_timestamp
12,Amrita College Of Nursing,"Amrita College Of Nursing, P.O.-Irba, P.S-Ormanjhi, Vill.- Hutup, Tehsil- Ormanjhi, Distt.- Ranchi, Jharkhand, Pin Code- 835217",Human Benifit Education Trust,Ranchi,Jharkhand,Private,B.Sc(N),30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
12,Amrita College Of Nursing,"Amrita College Of Nursing, P.O.-Irba, P.S-Ormanjhi, Vill.- Hutup, Tehsil- Ormanjhi, Distt.- Ranchi, Jharkhand, Pin Code- 835217",Human Benifit Education Trust,Ranchi,Jharkhand,Private,GNM,30 (Thirty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
13,Angel Nursing College,"Angel Nursing College, Zamzam Complex,Bhatthi Toli, Main Road, Simdega Jharkhand, Simdega, Distt.- Simdega, Jharkhand, Pin Code- 835223",Jharkhand Educational And Health Welfare Society,Simdega,Jharkhand,Private,B.Sc(N),60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
14,Anm Training School,"Anm Training School , Sadar Hospital Campus, Chaibasa, Distt.- West Singhbhum, Jharkhand, Pin Code- 833201",Jharkhand Government,West Singhbhum,Jharkhand,Government,ANM,20 (Twenty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
15,Arogyam Hospital And Nursing School,"Arogyam Hospital And Nursing School, Vill- Jhalua, P.O.- Kalyanpur, P.S.- Garhwa, Garhwa , Distt.- Garhwa, Jharkhand, Pin Code- 822114",Aarogyam Hospital And Research Private Limited,Garhwa,Jharkhand,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
15,Arogyam Hospital And Nursing School,"Arogyam Hospital And Nursing School, Vill- Jhalua, P.O.- Kalyanpur, P.S.- Garhwa, Garhwa , Distt.- Garhwa, Jharkhand, Pin Code- 822114",Aarogyam Hospital And Research Private Limited,Garhwa,Jharkhand,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
16,Ashish Nursing Prasikshan Sansthan,"Ashish Nursing Prasikshan Sansthan, Village Post Office - Chharda, Police Station - Sisai, Gumla, Distt.- Gumla, Jharkhand, Pin Code- 835324",Chetna Society,Gumla,Jharkhand,Private,ANM,50 (Fifty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
17,Aviram Gramin Vikas Swayam Sevi Sansthan College Of Nursing,"Aviram Gramin Vikas Swayam Sevi Sansthan College Of Nursing, Hutup, Pandra, Distt.- Latehar, Jharkhand, Pin Code- 835213",Aviram Gramin Vikas Swayam Sevi Sansthan,Latehar,Jharkhand,Private,B.Sc(N),40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
18,Avyan School Of Nursing,"Avyan School Of Nursing, At- Kathalmore, Post- Lalgutwa, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835303",Jharkhand Skilled Development For Rural Mass,Ranchi,Jharkhand,Private,GNM,60 (Sixty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
19,Babu Lal Badamiya Devi Institute Of Health,"Babu Lal Badamiya Devi Institute Of Health, Mandar, Ranchi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835214",Utpalaksh Memorial Trust,Ranchi,Jharkhand,Private,ANM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
19,Babu Lal Badamiya Devi Institute Of Health,"Babu Lal Badamiya Devi Institute Of Health, Mandar, Ranchi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835214",Utpalaksh Memorial Trust,Ranchi,Jharkhand,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
20,Bharat Mata School Of Nursing,"Bharat Mata School Of Nursing, Singhpur, Po- Muri, Ranchi, Jharkhand, Muri, Silli, Distt.- Ranchi, Jharkhand, Pin Code- 835101",Sneharam Charitable Trust,Ranchi,Jharkhand,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
21,Bharathi College Of Nursing,"Bharathi College Of Nursing, Plot No. - 592, Bharathi College Road, Vill. - Kandri, Po - Mandar, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835214",Bharathi Educational Trust,Ranchi,Jharkhand,Private,GNM,40 (Forty),2025-2026,1,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:29.625353
1,Bharti School Of Nursing,"Bharti School Of Nursing, At- Pairdih, Po- Kauribahiyar,Ps- Godda, Dist- Godda (Jh)-814133, Godda, Distt.- Godda, Jharkhand, Pin Code- 814133",Bharti Seva Trust,Godda,Jharkhand,Private,ANM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
2,Birsa College Of Nursing,"Birsa College Of Nursing, By Pass Road Chas , Chas, Distt.- Bokaro, Jharkhand, Pin Code- 827013",Birsa Vikas Society,Bokaro,Jharkhand,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
2,Birsa College Of Nursing,"Birsa College Of Nursing, By Pass Road Chas , Chas, Distt.- Bokaro, Jharkhand, Pin Code- 827013",Birsa Vikas Society,Bokaro,Jharkhand,Private,ANM,40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
3,Bntc School Of Nursing And Paramedical Science,"Bntc School Of Nursing And Paramedical Science, Road No 14,Bhola Bhagan,Chota Govindpur,Jamshedpur, Jamshedpur, Distt.- East Singhbhum, Jharkhand, Pin Code- 831015",Bntc Educational Foundation,East Singhbhum,Jharkhand,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
4,Buddha Nursing College,"Buddha Nursing College, Vill+Po-Bijuliya,P.S.-Ratu, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835219",Janjatiya Prashikshan Sansthan,Ranchi,Jharkhand,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
5,Central Institute Of Psychiatry,"Central Institute Of Psychiatry, Central Institute Of Psychiatry, Kanke, Ranchi, Jharkhand-834006, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834006",Central Institute Of Psychiatry,Ranchi,Jharkhand,Government,M. Sc (N),10 (Ten) Psy-10,2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
5,Central Institute Of Psychiatry,"Central Institute Of Psychiatry, Central Institute Of Psychiatry, Kanke, Ranchi, Jharkhand-834006, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834006",Central Institute Of Psychiatry,Ranchi,Jharkhand,Government,Post Basic Diploma in Psychiatric nsg.,15 (Fifteen),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
6,City Nursing College,"City Nursing College , Itki Road, Piska More, Hehal, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834005",City Trust Hospital And Research Centre,Ranchi,Jharkhand,Private,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
6,City Nursing College,"City Nursing College , Itki Road, Piska More, Hehal, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834005",City Trust Hospital And Research Centre,Ranchi,Jharkhand,Private,ANM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
6,City Nursing College,"City Nursing College , Itki Road, Piska More, Hehal, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834005",City Trust Hospital And Research Centre,Ranchi,Jharkhand,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
7,College Of Nursing,"College Of Nursing, Rajendra Institute Of Medical Sciences, ( R.I.M.S) , Bariatu,, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834009",Health Minister Health And Family Welfear Ranchi,Ranchi,Jharkhand,Government,B.Sc(N),50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
7,College Of Nursing,"College Of Nursing, Rajendra Institute Of Medical Sciences, ( R.I.M.S) , Bariatu,, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834009",Health Minister Health And Family Welfear Ranchi,Ranchi,Jharkhand,Government,P B B.Sc(N),30 (Thirty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
8,College Of Nursing,"College Of Nursing, Tata Main Hospital, Northern Town, Bistupur , Jamshedpur, Distt.- East Singhbhum, Jharkhand, Pin Code- 831001",Tata Main Hospital,East Singhbhum,Jharkhand,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
9,Constant Lievens School Of Nursing,"Constant Lievens School Of Nursing, Mandar, Village Katchacho, P.O. P.S. Mandar, , Vill.- Katchacho, Tehsil- Mandar, Distt.- Ranchi, Jharkhand, Pin Code- 835214",The Cathloic Bishop Conference Of India,Ranchi,Jharkhand,Private,GNM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
10,Dharti Aaba Nursing College,"Dharti Aaba Nursing College, Block Chowk Ormanjhi, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 835219",Dharti Aaba Foundation,Ranchi,Jharkhand,Private,GNM,40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
11,Divine Nursing College,"Divine Nursing College, Birsa Nagar, Near Block Chowk, Kanke Ranchi 834006, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834006",Rukh Divine Foundation,Ranchi,Jharkhand,Private,B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
11,Divine Nursing College,"Divine Nursing College, Birsa Nagar, Near Block Chowk, Kanke Ranchi 834006, Ranchi, Distt.- Ranchi, Jharkhand, Pin Code- 834006",Rukh Divine Foundation,Ranchi,Jharkhand,Private,GNM,40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
12,Florence College Of Nursing,"Florence College Of Nursing, At - Karma, Irba, Distt.- Ranchi, Jharkhand, Pin Code- 835238",Haji Abdur Razzaque Educational Society,Ranchi,Jharkhand,Private,P B B.Sc(N),40 (Forty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
12,Florence College Of Nursing,"Florence College Of Nursing, At - Karma, Irba, Distt.- Ranchi, Jharkhand, Pin Code- 835238",Haji Abdur Razzaque Educational Society,Ranchi,Jharkhand,Private,B.Sc(N),60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
12,Florence College Of Nursing,"Florence College Of Nursing, At - Karma, Irba, Distt.- Ranchi, Jharkhand, Pin Code- 835238",Haji Abdur Razzaque Educational Society,Ranchi,Jharkhand,Private,ANM,50 (Fifty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
12,Florence College Of Nursing,"Florence College Of Nursing, At - Karma, Irba, Distt.- Ranchi, Jharkhand, Pin Code- 835238",Haji Abdur Razzaque Educational Society,Ranchi,Jharkhand,Private,GNM,60 (Sixty),2025-2026,2,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:17:37.786561
