inc_institution_key,institution_name,institution_address,trust_name,district_name,state,sector,programmes,annual_intakes,total_intake,pin_code,academic_year,source,source_url,extraction_timestamp
Arunachal Pradesh|Tawang|KHANDO DROWA SANGMO GOVT. ANM SCHOOL OF NURSING,Khando Drowa Sangmo Govt. Anm School Of Nursing,"Khando Drowa Sangmo Govt. Anm School Of Nursing, Khando Drowa Sangmo Govt. Anm School Of Nursing, Tawang, Distt.- Tawang, Arunachal Pradesh, Pin Code- 790104",Government Of Arunachal Pradesh,Tawang,Arunachal Pradesh,Government,ANM,20 (Twenty),20,790104,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
Arunachal Pradesh|Papumpare|ANM NURSING SCHOOL,Anm Nursing School,"Anm Nursing School, District Health Society, Vill.- Namsai, Tehsil- Naharlagun, Distt.- Papumpare, Arunachal Pradesh, Pin Code- 792103",N.A.,Papumpare,Arunachal Pradesh,Government,ANM,20 (Twenty),20,792103,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
Arunachal Pradesh|Papumpare|ARUNACHAL STATE NURSING COLLEGE,Arunachal State Nursing College,"Arunachal State Nursing College, Trihms Naharlagun, Near Rajiv Gandhi Stadium, Naharlagun, Distt.- Papumpare, Arunachal Pradesh, Pin Code- 791110",Government Of Arunachal Pradesh,Papumpare,Arunachal Pradesh,Government,Upgraded College of Nursing,30 (Thirty),30,791110,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
Arunachal Pradesh|Lohit|ARUNACHAL UNIVERSITY OF STUDIES,Arunachal University Of Studies,"Arunachal University Of Studies, Knowledge City, Nh-52, Namsai, Dist. Namsai, Arunachal Pradesh, Namsai, Distt.- Lohit, Arunachal Pradesh, Pin Code- 792103",World Education Mission,Lohit,Arunachal Pradesh,Private,GNM | B.Sc(N),60 (Sixty) | 50 (Fifty),110,792103,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
Arunachal Pradesh|East Siang|GOVERNMENT COLLEGE OF NURSING,Government College Of Nursing,"Government College Of Nursing, Pasighat, Near, Tb Hospital, Forest Colony East Siang Arunachal Pradesh, Pasighat, Distt.- East Siang, Arunachal Pradesh, Pin Code- 791102",Govt. Of Arunachal Pradesh,East Siang,Arunachal Pradesh,Government,Upgraded College of Nursing,30 (Thirty),30,791102,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
Arunachal Pradesh|East Siang|HEALTH TAINING AND RESEARCH CENTRE,Health Taining And Research Centre,"Health Taining And Research Centre, School Of Nursing, Pasighat, Distt.- East Siang, Arunachal Pradesh, Pin Code- 791102",Govt. Of Arunachal Pradesh,East Siang,Arunachal Pradesh,Government,ANM,20 (Twenty),20,791102,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
Arunachal Pradesh|Papumpare|NORTH EAST NURSING COLLEGE OF HEALTH SCIENCE,North East Nursing College Of Health Science,"North East Nursing College Of Health Science, Nonpu, , Vill.- Doimukh, Tehsil- Itanagar, Distt.- Papumpare, Arunachal Pradesh, Pin Code- 791109",Abo Tani Charitable Society,Papumpare,Arunachal Pradesh,Private,B.Sc(N) | P B B.Sc(N),40 (Forty) | 10 (Ten),50,791109,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
Arunachal Pradesh|Papumpare|RAMAKRISHNA MISSION HOSPITAL,Ramakrishna Mission Hospital,"Ramakrishna Mission Hospital, Ramakrishna Missions Hospital School Of Nursing, P.O. R. K. Mission , Itanagar, Distt.- Papumpare, Arunachal Pradesh, Pin Code- 791113",Ramakrishna Mission Hospital,Papumpare,Arunachal Pradesh,Private,GNM,20 (Twenty),20,791113,2025-2026,INC Yearly Report,https://online.indiannursingcouncil.org/Reports/YearlyReportByState.aspx,2026-09-11T11:09:17.356657
