pseudocode,UDISE_Code,School_Name,State,District,Block,PIN,Match_Status,Match_Method,Evidence_Source,Evidence_URL,Confidence,Verification_Date
6856454,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=6856454,N/A,2026-09-10
4012326,23370212001,PS JHALSAR GOUND,MADHYA PRADESH,HOSHANGABAD,BABAI,,EXACT,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=4012326,HIGH,2026-09-10
7709494,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=7709494,N/A,2026-09-10
5720855,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=5720855,N/A,2026-09-10
1231288,03150403004,SHREE GURU NANAK PUB SCH BURJ RATHI,PUNJAB,MANSA,MANSA,,EXACT,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=1231288,HIGH,2026-09-10
1937621,09351303114,BCH MISSION JHS ORAI,UTTAR PRADESH,JALAUN,T. A. ORAI,,EXACT,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=1937621,HIGH,2026-09-10
8612401,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=8612401,N/A,2026-09-10
5470354,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=5470354,N/A,2026-09-10
6218212,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=6218212,N/A,2026-09-10
3995661,23280105004,PS JODI ANJAN UPLA,MADHYA PRADESH,BARWANI,RAJPUR,,EXACT,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=3995661,HIGH,2026-09-10
2974216,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=2974216,N/A,2026-09-10
7277643,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=7277643,N/A,2026-09-10
3247900,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=3247900,N/A,2026-09-10
9500853,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=9500853,N/A,2026-09-10
4307544,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=4307544,N/A,2026-09-10
1870298,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=1870298,N/A,2026-09-10
2074996,09590807402,J H S SEMARA JHUNGAWA,UTTAR PRADESH,KUSHINAGAR,KASIA,,EXACT,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=2074996,HIGH,2026-09-10
3239950,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=3239950,N/A,2026-09-10
2813313,,,,,,,UNMATCHED,KYS_API_track_schoolId,KYS UDISE+ Portal API,https://kys.udiseplus.gov.in/web-app/api/school/track?schoolId=2813313,N/A,2026-09-10
